,0.395b???r&&3,1594.8269
269169116,2.1907,3769.5313,8257.7881
269169155,2.2171,3779.2969,8378.9307
269169195,2.0587,3720.7031,7659.8091
269169234,2.2171,3789.0625,8400.5820
269169273,2.3226,3710.9375,8619.1543
269169313,2.4018,3740.2344,8983.3545
269169352,2.4810,3696.2891,9170.4805
269169392,2.5074,3720.7031,9329.2549
269169432,2.6130,3681.6406,9619.9971
269169471,2.7977,3671.8750,10272.8760
269169512,2.6921,3696.2891,9950.9473
269169551,2.5602,3691.4063,9450.6543
269169591,2.5074,3706.0547,9292.5254
269169631,2.6394,3725.5859,9833.1553
269169670,2.5338,3706.0547,9390.3408
269169710,2.4282,3740.2344,9082.0732
269169748,2.3226,3754.8828,8721.2227
269169788,2.2435,3750.0000,8412.9541
269169828,2.3226,3735.3516,8675.8594
269169867,2.2962,3750.0000,8610.9053
269169907,2.1643,3779.2969,8179.4331
269169946,2.1907,3764.6484,8247.0918
269169986,2.3226,3686.5234,8562.4492
269170026,2.2435,3725.5859,8358.1826
269170065,2.3490,3764.6484,8843.2676
269170105,2.4018,3715.8203,8924.7158
269170144,2.4546,3730.4688,9156.8193
269170184,2.5602,3691.4063,9450.6543
269170224,2.5866,3735.3516,9661.7520
269170263,2.3754,3710.9375,8815.0439
269170302,2.5074,3740.2344,9378.2275
269170341,2.5338,3696.2891,9365.5967
269170381,2.5602,3720.7031,9525.6602
269170421,2.4282,3750.0000,9105.7861
269170460,2.4282,3750.0000,9105.7861
269170500,2.4546,3730.4688,9156.8193
269170539,2.5602,3720.7031,9525.6602
269170579,2.4018,3730.4688,8959.8994
269170618,2.3490,3759.7656,8831.7979
269170658,2.3226,3710.9375,8619.1543
269170698,2.5074,3706.0547,9292.5254
269170737,2.2962,3730.4688,8566.0576
269170777,2.2435,3774.4141,8467.7256
269170816,2.2698,3735.3516,8478.6797
269170855,2.2962,3745.1172,8599.6934
269170895,2.4018,3715.8203,8924.7158
269170934,2.5074,3720.7031,9329.2549
269170974,2.6658,3710.9375,9892.4375
269171013,2.6130,3784.1797,9887.9277
269171053,2.6658,3666.9922,9775.2910
269171093,2.6658,3701.1719,9866.4053
269171132,2.4282,3715.8203,9022.7900
269171172,2.5074,3720.7031,9329.2549
269171211,2.4810,3710.9375,9206.8232
269171251,2.4810,3735.3516,9267.3945
269171291,2.4546,3759.7656,9228.7314
269171330,2.2171,3759.7656,8335.6289
269171369,2.4546,3730.4688,9156.8193
269171408,2.2435,3764.6484,8445.8174
269171448,2.3226,3735.3516,8675.8594
269171488,2.3490,3745.1172,8797.3887
269171527,2.3754,3691.4063,8768.6484
269171567,2.2698,3759.7656,8534.0957
269171606,2.2171,3735.3516,8281.5020
269171646,2.2171,3769.5313,8357.2803
269171686,2.3490,3759.7656,8831.7979
269171725,2.4810,3715.8203,9218.9375
269171765,2.5074,3725.5859,9341.4980
269171804,2.4282,3730.4688,9058.3594
269171844,2.4810,3720.7031,9231.0518
269171883,2.4282,3735.3516,9070.2168
269171922,2.7185,3701.1719,10061.7790
269171963,2.6130,3701.1719,9671.0313
269172002,2.7185,3652.3438,9929.0381
269172042,2.6658,3691.4063,9840.3721
269172081,2.8505,3691.4063,10522.3790
269172122,2.5074,3701.1719,9280.2822
269172162,2.2171,3759.7656,8335.6289
269172201,2.2435,3720.7031,8347.2275
269172241,2.2171,3759.7656,8335.6289
269172280,2.2698,3740.2344,8489.7627
269172320,2.3490,3750.0000,8808.8584
269172360,2.0587,3764.6484,7750.2793
269172399,2.1907,3740.2344,8193.6084
269172439,2.3754,3759.7656,8931.0313
269172477,2.3226,3725.5859,8653.1768
269172517,2.2962,3764.6484,8644.5420
269172557,2.5602,3696.2891,9463.1553
269172596,2.5602,3676.7578,9413.1523
269172636,2.7185,3681.6406,10008.6830
269172676,2.7977,3637.6953,10177.2510
269172717,2.7977,3666.9922,10259.2160
269172758,2.8241,3657.2266,10328.4220
269172798,2.7713,3706.0547,10270.6860
269172839,2.5074,3696.2891,9268.0391
269172878,2.3490,3754.8828,8820.3281
269172918,2.1115,3730.4688,7876.8340
269172958,2.1115,3793.9453,8010.8643
269172997,1.9795,3759.7656,7442.5259
269173037,1.9795,3847.6563,7616.5068
269173075,2.1643,3764.6484,8147.7300
269173115,2.3754,3735.3516,8873.0371
269173155,2.5338,3725.5859,9439.8291
269173194,2.5338,3706.0547,9390.3408
269173234,2.5074,3706.0547,9292.5254
269173273,2.5866,3706.0547,9585.9736
269173313,2.6130,3696.2891,9658.2725
269173353,2.6658,3701.1719,9866.4053
269173392,2.5866,3696.2891,9560.7139
269173432,2.5074,3735.3516,9365.9844
269173471,2.3754,3710.9375,8815.0439
269173511,2.3490,3750.0000,8808.8584
269173551,2.3226,3769.5313,8755.2461
269173590,2.3226,3754.8828,8721.2227
269173629,2.3226,3710.9375,8619.1543
269173668,2.4810,3735.3516,9267.3945
269173708,2.4018,3720.7031,8936.4443
269173747,2.2962,3720.7031,8543.6328
269173787,2.5338,3730.4688,9452.2012
269173827,2.3226,3740.2344,8687.2002
269173866,2.4018,3735.3516,8971.6270
269173906,2.4546,3735.3516,9168.8047
269173945,2.5866,3696.2891,9560.7139
269173985,2.5866,3706.0547,9585.9736
269174025,2.5602,3701.1719,9475.6563
269174064,2.4546,3750.0000,9204.7607
269174104,2.3490,3730.4688,8762.9785
269174142,2.3754,3740.2344,8884.6357
269174182,2.4546,3725.5859,9144.8340
269174222,2.3754,3730.4688,8861.4385
269174261,2.3754,3735.3516,8873.0371
269174301,2.4282,3710.9375,9010.9336
269174340,2.3754,3735.3516,8873.0371
269174380,2.2698,3730.4688,8467.5967
269174420,2.2962,3754.8828,8622.1182
269174459,2.2962,3710.9375,8521.2090
269174499,2.3226,3745.1172,8698.5410
269174538,2.3490,3735.3516,8774.4482
269174578,2.2171,3769.5313,8357.2803
269174618,2.2698,3754.8828,8523.0127
269174657,2.4018,3706.0547,8901.2607
269174696,2.5074,3720.7031,9329.2549
269174735,2.4282,3730.4688,9058.3594
269174775,2.5074,3730.4688,9353.7412
269174815,2.5602,3701.1719,9475.6563
269174854,2.5602,3715.8203,9513.1592
269174894,2.5866,3720.7031,9623.8623
269174933,2.5074,3720.7031,9329.2549
269174973,2.5602,3701.1719,9475.6563
269175012,2.6130,3676.7578,9607.2383
269175052,2.6130,3730.4688,9747.5830
269175092,2.5074,3701.1719,9280.2822
269175131,2.4282,3740.2344,9082.0732
269175171,2.4282,3706.0547,8999.0771
269175209,2.3226,3759.7656,8732.5635
269175249,2.2962,3735.3516,8577.2695
269175289,2.4282,3759.7656,9129.4990
269175328,2.2435,3730.4688,8369.1367
269175368,2.1643,3769.5313,8158.2974
269175407,2.1115,3764.6484,7949.0039
269175447,2.0323,3798.8281,7720.3799
269175487,2.1907,3769.5313,8257.7881
269175526,2.2962,3730.4688,8566.0576
269175566,2.4018,3632.8125,8725.3467
269175605,2.4810,3710.9375,9206.8232
269175645,2.5074,3710.9375,9304.7686
269175685,2.6921,3681.6406,9911.5117
269175724,2.8241,3671.8750,10369.7900
269175764,2.7185,3701.1719,10061.7790
269175804,2.5074,3701.1719,9280.2822
269175844,2.6658,3710.9375,9892.4375
269175884,2.5602,3710.9375,9500.6582
269175923,2.7449,3681.6406,10105.8540
269175964,2.5866,3715.8203,9611.2334
269176003,2.2962,3730.4688,8566.0576
269176043,2.4546,3745.1172,9192.7754
269176083,2.3226,3701.1719,8596.4717
269176122,2.2962,3764.6484,8644.5420
269176162,2.2171,3754.8828,8324.8037
269176201,2.2698,3740.2344,8489.7627
269176241,2.2962,3730.4688,8566.0576
269176281,2.3490,3725.5859,8751.5088
269176320,2.3754,3759.7656,8931.0313
269176359,2.2698,3730.4688,8467.5967
269176398,2.3226,3725.5859,8653.1768
269176438,2.4810,3706.0547,9194.7090
269176478,2.4282,3710.9375,9010.9336
269176517,2.3490,3706.0547,8705.6289
269176557,2.3226,3740.2344,8687.2002
269176596,2.3490,3725.5859,8751.5088
269176636,2.3226,3754.8828,8721.2227
269176675,2.2962,3720.7031,8543.6328
269176715,2.2698,3750.0000,8511.9297
269176755,2.4810,3696.2891,9170.4805
269176794,2.7185,3720.7031,10114.8760
269176835,2.5338,3691.4063,9353.2246
269176873,2.5866,3715.8203,9611.2334
269176913,2.4810,3701.1719,9182.5947
269176953,2.5866,3701.1719,9573.3438
269176992,2.3754,3720.7031,8838.2412
269177032,2.2435,3750.0000,8412.9541
269177071,2.3226,3730.4688,8664.5176
269177111,2.3226,3745.1172,8698.5410
269177151,2.3226,3701.1719,8596.4717
269177190,2.4546,3740.2344,9180.7900
269177230,2.2435,3735.3516,8380.0908
269177269,2.3754,3754.8828,8919.4326
269177309,2.4018,3710.9375,8912.9883
269177349,2.4282,3730.4688,9058.3594
269177388,2.5602,3691.4063,9450.6543
269177427,2.6394,3730.4688,9846.0430
269177466,2.6658,3671.8750,9788.3066
269177506,2.6130,3706.0547,9683.7900
269177546,2.5866,3710.9375,9598.6035
269177585,2.4282,3730.4688,9058.3594
269177625,2.3754,3750.0000,8907.8330
269177664,2.4282,3730.4688,9058.3594
269177704,2.2698,3720.7031,8445.4297
269177744,2.3490,3750.0000,8808.8584
269177783,2.2435,3725.5859,8358.1826
269177823,2.4810,3730.4688,9255.2803
269177862,2.5074,3706.0547,9292.5254
269177902,2.4546,3745.1172,9192.7754
269177942,2.4546,3720.7031,9132.8486
269177980,2.5338,3710.9375,9402.7129
269178020,2.5338,3710.9375,9402.7129
269178059,2.4546,3754.8828,9216.7461
269178099,2.3226,3730.4688,8664.5176
269178138,2.3226,3764.6484,8743.9053
269178178,2.3754,3740.2344,8884.6357
269178218,2.2435,3735.3516,8380.0908
269178257,2.1907,3754.8828,8225.6982
269178297,2.2962,3745.1172,8599.6934
269178336,2.3754,3730.4688,8861.4385
269178376,2.6130,3681.6406,9619.9971
269178416,2.7185,3691.4063,10035.2310
269178456,2.5866,3710.9375,9598.6035
269178496,2.6921,3720.7031,10016.6740
269178535,2.6130,3701.1719,9671.0313
269178575,2.6130,3725.5859,9734.8242
269178615,2.3490,3720.7031,8740.0391
269178654,2.1379,3789.0625,8100.5610
269178694,2.1115,3759.7656,7938.6943
269178733,2.2698,3750.0000,8511.9297
269178773,2.1115,3784.1797,7990.2441
269178813,2.0587,3769.5313,7760.3315
269178852,2.1379,3784.1797,8090.1226
269178892,2.2962,3720.7031,8543.6328
269178931,2.5074,3730.4688,9353.7412
269178971,2.5866,3574.2188,9244.9707
269179011,2.7449,3681.6406,10105.8540
269179051,2.6921,3706.0547,9977.2383
269179090,2.6921,3681.6406,9911.5117
269179129,2.7185,3691.4063,10035.2310
269179170,2.6658,3686.5234,9827.3564
269179210,2.5602,3720.7031,9525.6602
269179249,2.5866,3710.9375,9598.6035
269179289,2.4282,3745.1172,9093.9297
269179328,2.2171,3750.0000,8313.9775
269179368,2.2171,3764.6484,8346.4541
269179408,2.2435,3754.8828,8423.9082
269179447,2.2962,3759.7656,8633.3301
269179487,2.2435,3730.4688,8369.1367
269179526,2.1643,3784.1797,8190.0005
269179566,2.2435,3740.2344,8391.0459
269179604,2.3490,3735.3516,8774.4482
269179644,2.3490,3745.1172,8797.3887
269179684,2.3490,3740.2344,8785.9180
269179723,2.4546,3715.8203,9120.8633
269179763,2.7185,3657.2266,9942.3125
269179802,2.9033,3632.8125,10547.1220
269179843,2.9825,3627.9297,10820.2080
269179884,2.8769,3666.9922,10549.5710
269179924,2.7977,3676.7578,10286.5370
269179965,2.7185,3666.9922,9968.8604
269180004,2.4546,3740.2344,9180.7900
269180044,2.1379,3784.1797,8090.1226
269180084,2.0851,3759.7656,7839.4609
269180123,2.0587,3784.1797,7790.4883
269180163,2.1115,3789.0625,8000.5542
269180201,1.9267,3876.9531,7469.8477
269180241,1.9795,3808.5938,7539.1821
269180281,2.1379,3745.1172,8006.6113
269180320,2.3490,3764.6484,8843.2676
269180360,2.4810,3701.1719,9182.5947
269180399,2.4282,3730.4688,9058.3594
269180439,2.5866,3686.5234,9535.4541
269180479,2.7713,3681.6406,10203.0260
269180519,2.8769,3671.8750,10563.6190
269180560,2.7449,3671.8750,10079.0490
269180600,2.6921,3774.4141,10161.2710
269180641,2.6130,3706.0547,9683.7900
269180681,2.5602,3710.9375,9500.6582
269180720,2.1643,3759.7656,8137.1621
269180760,2.3754,3725.5859,8849.8398
269180798,2.2171,3769.5313,8357.2803
269180838,2.1907,3725.5859,8161.5186
269180878,2.2698,3901.3672,8855.5098
269180917,2.1907,3750.0000,8215.0020
269180957,2.1907,3745.1172,8204.3057
269180996,2.5866,3730.4688,9649.1221
269181036,2.5602,3706.0547,9488.1572
269181076,2.4546,3730.4688,9156.8193
269181115,2.5602,3701.1719,9475.6563
269181155,2.7449,3686.5234,10119.2580
269181195,2.6130,3691.4063,9645.5137
269181235,2.4810,3686.5234,9146.2520
269181275,2.4546,3720.7031,9132.8486
269181314,2.5338,3710.9375,9402.7129
269181353,2.3490,3735.3516,8774.4482
269181392,2.1643,3745.1172,8105.4590
269181432,2.1115,3798.8281,8021.1738
269181472,2.1379,3750.0000,8017.0503
269181511,2.1907,3774.4141,8268.4854
269181551,2.3226,3735.3516,8675.8594
269181590,2.3754,3720.7031,8838.2412
269181630,2.5338,3715.8203,9415.0850
269181670,2.6130,3686.5234,9632.7549
269181709,2.7713,3676.7578,10189.4950
269181750,2.6394,3701.1719,9768.7178
269181789,2.6130,3671.8750,9594.4795
269181829,2.5602,3715.8203,9513.1592
269181868,2.6658,3681.6406,9814.3398
269181907,2.5074,3691.4063,9255.7959
269181947,2.5866,3720.7031,9623.8623
269181986,2.4018,3730.4688,8959.8994
269182026,2.4018,3759.7656,9030.2646
269182065,2.2698,3735.3516,8478.6797
269182105,2.1907,3750.0000,8215.0020
269182145,2.1643,3754.8828,8126.5942
269182184,2.2962,3730.4688,8566.0576
269182224,2.1907,3769.5313,8257.7881
269182263,2.1379,3730.4688,7975.2949
269182303,2.2171,3789.0625,8400.5820
269182343,2.3754,3740.2344,8884.6357
269182382,2.3754,3745.1172,8896.2344
269182422,2.3754,3730.4688,8861.4385
269182460,2.5338,3740.2344,9476.9443
269182500,2.5602,3701.1719,9475.6563
269182540,2.7185,3706.0547,10075.0540
269182580,2.7449,3662.1094,10052.2430
269182621,2.8241,3671.8750,10369.7900
269182661,2.7977,3710.9375,10382.1620
269182702,2.7449,3681.6406,10105.8540
269182743,2.4810,3706.0547,9194.7090
269182782,2.3490,3754.8828,8820.3281
269182822,2.1907,3750.0000,8215.0020
269182861,2.1907,3779.2969,8279.1816
269182901,2.1115,3686.5234,7784.0444
269182941,2.1643,3793.9453,8211.1357
269182980,2.0851,3750.0000,7819.0986
269183020,2.1643,3779.2969,8179.4331
269183058,2.3226,3759.7656,8732.5635
269183098,2.5338,3593.7500,9105.7852
269183138,2.5074,3701.1719,9280.2822
269183177,2.4810,3730.4688,9255.2803
269183217,2.5866,3686.5234,9535.4541
269183256,2.5602,3730.4688,9550.6611
269183296,2.6658,3706.0547,9879.4219
269183336,2.5602,3730.4688,9550.6611
269183375,2.3490,3720.7031,8740.0391
269183415,2.3754,3598.6328,8548.2725
269183454,2.4282,3720.7031,9034.6465
269183494,2.3754,3735.3516,8873.0371
269183534,2.2435,3740.2344,8391.0459
269183572,2.3226,3754.8828,8721.2227
269183612,2.4282,3847.6563,9342.9160
269183651,2.4282,3730.4688,9058.3594
269183691,2.3754,3735.3516,8873.0371
269183730,2.2435,3750.0000,8412.9541
269183770,2.2698,3750.0000,8511.9297
269183810,2.4018,3720.7031,8936.4443
269183849,2.5074,3725.5859,9341.4980
269183889,2.5074,3686.5234,9243.5527
269183928,2.5338,3818.3594,9674.8965
269183968,2.5338,3710.9375,9402.7129
269184008,2.7185,3681.6406,10008.6830
269184048,2.5602,3725.5859,9538.1602
269184088,2.4018,3701.1719,8889.5332
269184126,2.4546,3735.3516,9168.8047
269184166,2.4018,3701.1719,8889.5332
269184206,2.4018,3740.2344,8983.3545
269184245,2.4282,3710.9375,9010.9336
269184285,2.4018,3730.4688,8959.8994
269184324,2.4282,3706.0547,8999.0771
269184364,2.4546,3740.2344,9180.7900
269184404,2.4282,3691.4063,8963.5078
269184443,2.3226,3759.7656,8732.5635
269184483,2.3490,3720.7031,8740.0391
269184522,2.3226,3735.3516,8675.8594
269184562,2.5074,3725.5859,9341.4980
269184602,2.3754,3740.2344,8884.6357
269184641,2.2698,3740.2344,8489.7627
269184680,2.3754,3725.5859,8849.8398
269184719,2.5866,3715.8203,9611.2334
269184759,2.4546,3720.7031,9132.8486
269184799,2.3754,3730.4688,8861.4385
269184838,2.3226,3725.5859,8653.1768
269184878,2.2962,3740.2344,8588.4814
269184917,2.3754,3725.5859,8849.8398
269184957,2.3490,3754.8828,8820.3281
269184996,2.3226,3759.7656,8732.5635
269185036,2.4018,3735.3516,8971.6270
269185076,2.5074,3701.1719,9280.2822
269185115,2.5074,3725.5859,9341.4980
269185155,2.5602,3691.4063,9450.6543
269185193,2.4546,3720.7031,9132.8486
269185233,2.6130,3706.0547,9683.7900
269185273,2.5338,3730.4688,9452.2012
269185312,2.5074,3701.1719,9280.2822
269185352,2.4546,3740.2344,9180.7900
269185391,2.4546,3715.8203,9120.8633
269185431,2.5338,3652.3438,9254.2490
269185471,2.5074,3681.6406,9231.3096
269185510,2.3490,3754.8828,8820.3281
269185550,2.2962,3745.1172,8599.6934
269185589,2.2171,3769.5313,8357.2803
269185629,2.3226,3740.2344,8687.2002
269185669,2.1907,3754.8828,8225.6982
269185708,2.2698,3745.1172,8500.8467
269185747,2.3490,3740.2344,8785.9180
269185786,2.5866,3725.5859,9636.4922
269185826,2.4018,3720.7031,8936.4443
269185866,2.2698,3759.7656,8534.0957
269185905,2.3490,3715.8203,8728.5693
269185945,2.5074,3681.6406,9231.3096
269185984,2.5074,3701.1719,9280.2822
269186024,2.4810,3735.3516,9267.3945
269186064,2.5602,3701.1719,9475.6563
269186103,2.4546,3730.4688,9156.8193
269186143,2.5602,3676.7578,9413.1523
269186182,2.4546,3745.1172,9192.7754
269186222,2.4282,3710.9375,9010.9336
269186260,2.4018,3720.7031,8936.4443
269186300,2.4018,3715.8203,8924.7158
269186340,2.5074,3730.4688,9353.7412
269186379,2.3490,3720.7031,8740.0391
269186419,2.2171,3759.7656,8335.6289
269186458,2.4282,3740.2344,9082.0732
269186498,2.5866,3725.5859,9636.4922
269186538,2.5602,3706.0547,9488.1572
269186577,2.3226,3740.2344,8687.2002
269186617,2.4018,3730.4688,8959.8994
269186656,2.4546,3715.8203,9120.8633
269186696,2.4282,3725.5859,9046.5029
269186736,2.3490,3720.7031,8740.0391
269186775,2.2171,3754.8828,8324.8037
269186814,2.3226,3740.2344,8687.2002
269186853,2.4546,3730.4688,9156.8193
269186893,2.4282,3710.9375,9010.9336
269186933,2.4810,3740.2344,9279.5088
269186972,2.4018,3725.5859,8948.1719
269187012,2.4546,3730.4688,9156.8193
269187051,2.4282,3715.8203,9022.7900
269187091,2.5602,3720.7031,9525.6602
269187131,2.4810,3686.5234,9146.2520
269187170,2.5866,3735.3516,9661.7520
269187210,2.4810,3666.9922,9097.7949
269187249,2.4282,3740.2344,9082.0732
269187289,2.3490,3710.9375,8717.0996
269187329,2.3490,3730.4688,8762.9785
269187367,2.4546,3725.5859,9144.8340
269187407,2.2171,3759.7656,8335.6289
269187446,2.1643,3769.5313,8158.2974
269187486,2.1907,3725.5859,8161.5186
269187525,2.4018,3906.2500,9382.0938
269187565,2.5602,3706.0547,9488.1572
269187605,2.6130,3720.7031,9722.0654
269187644,2.5602,3691.4063,9450.6543
269187684,2.6921,3701.1719,9964.0928
269187723,2.7185,3613.2813,9822.8447
269187763,2.8769,3666.9922,10549.5710
269187804,2.7185,3696.2891,10048.5050
269187844,2.5338,3720.7031,9427.4570
269187884,2.5338,3710.9375,9402.7129
269187922,2.3226,3745.1172,8698.5410
269187962,2.1115,3764.6484,7949.0039
269188002,2.0587,3784.1797,7790.4883
269188041,2.1907,3769.5313,8257.7881
269188081,2.1643,3740.2344,8094.8911
269188120,2.2698,3764.6484,8545.1797
269188160,2.2698,3730.4688,8467.5967
269188200,2.3490,3774.4141,8866.2070
269188239,2.4546,3701.1719,9084.9072
269188279,2.7713,3715.8203,10297.7500
269188319,2.6658,3676.7578,9801.3232
269188359,2.6658,3676.7578,9801.3232
269188399,2.7185,3710.9375,10088.3270
269188439,2.5866,3671.8750,9497.5654
269188478,2.4810,3715.8203,9218.9375
269188517,2.4282,3725.5859,9046.5029
269188557,2.2962,3759.7656,8633.3301
269188597,2.2435,3730.4688,8369.1367
269188636,2.1379,3774.4141,8069.2446
269188676,2.0323,3720.7031,7561.6064
269188715,2.1907,3769.5313,8257.7881
269188755,2.2962,3725.5859,8554.8447
269188795,2.3754,3740.2344,8884.6357
269188834,2.2962,3750.0000,8610.9053
269188874,2.2435,3740.2344,8391.0459
269188913,2.5338,3725.5859,9439.8291
269188953,2.5338,3706.0547,9390.3408
269188993,2.5866,3710.9375,9598.6035
269189031,2.6130,3696.2891,9658.2725
269189071,2.6658,3666.9922,9775.2910
269189110,2.7185,3691.4063,10035.2310
269189151,2.6130,3686.5234,9632.7549
269189191,2.4282,3725.5859,9046.5029
269189230,2.4018,3710.9375,8912.9883
269189270,2.4282,3735.3516,9070.2168
269189309,2.3754,3710.9375,8815.0439
269189349,2.2698,3759.7656,8534.0957
269189388,2.2698,3735.3516,8478.6797
269189428,2.4018,3754.8828,9018.5371
269189468,2.3226,3740.2344,8687.2002
269189507,2.4546,3735.3516,9168.8047
269189547,2.3226,3740.2344,8687.2002
269189585,2.4546,3710.9375,9108.8779
269189625,2.5074,3725.5859,9341.4980
269189665,2.4018,3710.9375,8912.9883
269189704,2.4546,3750.0000,9204.7607
269189744,2.4018,3696.2891,8877.8057
269189783,2.5866,3715.8203,9611.2334
269189823,2.4546,3706.0547,9096.8926
269189863,2.4810,3730.4688,9255.2803
269189902,2.5338,3691.4063,9353.2246
269189942,2.6130,3715.8203,9709.3066
269189981,2.6658,3676.7578,9801.3232
269190021,2.5338,3720.7031,9427.4570
269190061,2.5602,3710.9375,9500.6582
269190099,2.4546,3730.4688,9156.8193
269190139,2.4546,3715.8203,9120.8633
269190178,2.3490,3730.4688,8762.9785
269190218,2.2962,3735.3516,8577.2695
269190258,2.2435,3769.5313,8456.7715
269190297,2.2698,3754.8828,8523.0127
269190337,2.3226,3754.8828,8721.2227
269190376,2.3226,3710.9375,8619.1543
269190416,2.4546,3735.3516,9168.8047
269190456,2.4018,3735.3516,8971.6270
269190495,2.4810,3730.4688,9255.2803
269190535,2.4810,3706.0547,9194.7090
269190574,2.6394,3735.3516,9858.9307
269190614,2.4546,3701.1719,9084.9072
269190652,2.7185,3710.9375,10088.3270
269190693,2.5338,3701.1719,9377.9688
269190733,2.4018,3730.4688,8959.8994
269190772,2.3754,3725.5859,8849.8398
269190812,2.4018,3735.3516,8971.6270
269190851,2.5074,3706.0547,9292.5254
269190891,2.3490,3730.4688,8762.9785
269190931,2.3490,3720.7031,8740.0391
269190970,2.4018,3750.0000,9006.8096
269191010,2.5602,3681.6406,9425.6533
269191049,2.4546,3745.1172,9192.7754
269191089,2.4282,3706.0547,8999.0771
269191129,2.4282,3735.3516,9070.2168
269191168,2.4546,3706.0547,9096.8926
269191207,2.3490,3754.8828,8820.3281
269191246,2.2698,3745.1172,8500.8467
269191286,2.2435,3759.7656,8434.8633
269191326,2.2171,3750.0000,8313.9775
269191365,2.4546,3710.9375,9108.8779
269191405,2.5338,3715.8203,9415.0850
269191444,2.5074,3686.5234,9243.5527
269191484,2.5338,3691.4063,9353.2246
269191524,2.6921,3696.2891,9950.9473
269191563,2.5602,3691.4063,9450.6543
269191603,2.3226,3764.6484,8743.9053
269191642,2.3754,3730.4688,8861.4385
269191682,2.3226,3754.8828,8721.2227
269191721,2.4018,3730.4688,8959.8994
269191760,2.2962,3754.8828,8622.1182
269191800,2.2171,3759.7656,8335.6289
269191839,2.3490,3720.7031,8740.0391
269191879,2.5074,3735.3516,9365.9844
269191918,2.5338,3715.8203,9415.0850
269191958,2.5338,3725.5859,9439.8291
269191998,2.7449,3686.5234,10119.2580
269192038,2.6658,3715.8203,9905.4541
269192078,2.8241,3652.3438,10314.6320
269192118,2.7185,3662.1094,9955.5859
269192158,2.7449,3671.8750,10079.0490
269192199,2.5074,3720.7031,9329.2549
269192238,2.4282,3696.2891,8975.3643
269192278,2.2698,3774.4141,8567.3457
269192316,2.1379,3750.0000,8017.0503
269192356,2.1115,3798.8281,8021.1738
269192396,2.1379,3759.7656,8037.9282
269192435,2.1907,3774.4141,8268.4854
269192475,2.2171,3769.5313,8357.2803
269192514,2.2962,3554.6875,8162.4209
269192554,2.5074,3730.4688,9353.7412
269192594,2.4810,3691.4063,9158.3662
269192633,2.4810,3715.8203,9218.9375
269192673,2.5338,3686.5234,9340.8525
269192712,2.5866,3671.8750,9497.5654
269192752,2.6394,3681.6406,9717.1680
269192792,2.5602,3696.2891,9463.1553
269192830,2.4282,3725.5859,9046.5029
269192870,2.5866,3701.1719,9573.3438
269192909,2.6130,3686.5234,9632.7549
269192949,2.5074,3686.5234,9243.5527
269192989,2.3226,3750.0000,8709.8818
269193028,2.3754,3842.7734,9128.2100
269193068,2.4282,3750.0000,9105.7861
269193107,2.5866,3706.0547,9585.9736
269193147,2.5074,3764.6484,9439.4424
269193187,2.4018,3715.8203,8924.7158
269193226,2.3226,3769.5313,8755.2461
269193266,2.3754,3735.3516,8873.0371
269193305,2.4546,3730.4688,9156.8193
269193345,2.3226,3750.0000,8709.8818
269193384,2.2435,3740.2344,8391.0459
269193423,2.3490,3730.4688,8762.9785
269193463,2.3490,3701.1719,8694.1592
269193502,2.2698,3759.7656,8534.0957
269193542,2.2962,3681.6406,8453.9365
269193581,2.4018,3740.2344,8983.3545
269193621,2.6130,3681.6406,9619.9971
269193661,2.6130,3696.2891,9658.2725
269193700,2.6394,3681.6406,9717.1680
269193740,2.6394,3676.7578,9704.2803
269193779,2.5866,3701.1719,9573.3438
269193819,2.5866,3676.7578,9510.1953
269193859,2.5074,3725.5859,9341.4980
269193897,2.3754,3710.9375,8815.0439
269193937,2.3754,3720.7031,8838.2412
269193976,2.5338,3706.0547,9390.3408
269194016,2.2435,3764.6484,8445.8174
269194056,2.1643,3750.0000,8116.0264
269194095,2.1379,3784.1797,8090.1226
269194135,2.2435,3735.3516,8380.0908
269194174,2.3490,3710.9375,8717.0996
269194214,2.2698,3745.1172,8500.8467
269194254,2.3490,3725.5859,8751.5088
269194293,2.5602,3710.9375,9500.6582
269194333,2.6921,3701.1719,9964.0928
269194372,2.6394,3706.0547,9781.6055
269194412,2.5866,3706.0547,9585.9736
269194451,2.5602,3676.7578,9413.1523
269194490,2.6130,3706.0547,9683.7900
269194530,2.6394,3691.4063,9742.9424
269194569,2.4018,3720.7031,8936.4443
269194609,2.4018,3725.5859,8948.1719
269194649,2.3226,3740.2344,8687.2002
269194688,2.3754,3725.5859,8849.8398
269194728,2.4018,3745.1172,8995.0820
269194767,2.3226,3725.5859,8653.1768
269194807,2.2435,3750.0000,8412.9541
269194846,2.2698,3730.4688,8467.5967
269194886,2.2171,3745.1172,8303.1523
269194926,2.2171,3764.6484,8346.4541
269194964,2.1643,3754.8828,8126.5942
269195004,2.2962,3764.6484,8644.5420
269195043,2.5338,3706.0547,9390.3408
269195083,2.5338,3588.8672,9093.4131
269195123,2.5602,3671.8750,9400.6514
269195162,2.5602,3710.9375,9500.6582
269195202,2.5602,3686.5234,9438.1533
269195241,2.6394,3691.4063,9742.9424
269195281,2.6921,3696.2891,9950.9473
269195321,2.6394,3666.9922,9678.5049
269195360,2.6130,3715.8203,9709.3066
269195400,2.4810,3691.4063,9158.3662
