,0.2639??Lr?54,1060.6405
267473650,2.0587,3759.7656,7740.2271
267473690,2.1379,3706.0547,7923.1006
267473729,2.2962,3750.0000,8610.9053
267473769,2.1907,3730.4688,8172.2153
267473809,2.2171,3706.0547,8216.5488
267473848,2.3226,3750.0000,8709.8818
267473888,2.3226,3715.8203,8630.4951
267473927,2.2435,3740.2344,8391.0459
267473967,2.3226,3720.7031,8641.8359
267474007,2.2435,3715.8203,8336.2734
267474045,2.2962,3745.1172,8599.6934
267474085,2.2435,3730.4688,8369.1367
267474124,2.1379,3750.0000,8017.0503
267474164,2.1643,3730.4688,8073.7554
267474203,2.0323,3769.5313,7660.8398
267474243,2.0851,3759.7656,7839.4609
267474283,2.1379,3720.7031,7954.4170
267474322,2.1907,3745.1172,8204.3057
267474362,2.3490,3725.5859,8751.5088
267474401,2.3226,3750.0000,8709.8818
267474441,2.2962,3720.7031,8543.6328
267474481,2.3754,3574.2188,8490.2783
267474520,2.2435,3735.3516,8380.0908
267474560,2.1907,3710.9375,8129.4287
267474598,2.2435,3745.1172,8402.0000
267474638,2.1379,3725.5859,7964.8560
267474678,2.1115,3750.0000,7918.0742
267474717,2.1907,3740.2344,8193.6084
267474757,2.2171,3706.0547,8216.5488
267474796,2.2435,3715.8203,8336.2734
267474836,2.2435,3715.8203,8336.2734
267474876,2.2962,3740.2344,8588.4814
267474915,2.2435,3735.3516,8380.0908
267474955,2.2962,3710.9375,8521.2090
267474994,2.2698,3735.3516,8478.6797
267475034,2.2435,3715.8203,8336.2734
267475074,2.1643,3754.8828,8126.5942
267475112,2.1115,3730.4688,7876.8340
267475152,2.2435,3754.8828,8423.9082
267475191,2.1115,3759.7656,7938.6943
267475231,2.1379,3725.5859,7964.8560
267475271,2.1643,3720.7031,8052.6201
267475310,2.1115,3740.2344,7897.4541
267475350,2.1907,3754.8828,8225.6982
267475389,2.1907,3750.0000,8215.0020
267475429,2.1907,3720.7031,8150.8223
267475468,2.2698,3750.0000,8511.9297
267475508,2.3226,3706.0547,8607.8125
267475548,2.2962,3735.3516,8577.2695
267475587,2.2435,3735.3516,8380.0908
267475627,2.2435,3701.1719,8303.4102
267475665,2.1907,3745.1172,8204.3057
267475705,2.1643,3715.8203,8042.0522
267475745,2.2171,3701.1719,8205.7227
267475784,2.2962,3720.7031,8543.6328
267475824,2.2962,3730.4688,8566.0576
267475863,2.2962,3730.4688,8566.0576
267475903,2.2962,3710.9375,8521.2090
267475943,2.2962,3745.1172,8599.6934
267475982,2.2435,3701.1719,8303.4102
267476022,2.1379,3759.7656,8037.9282
267476061,2.1115,3789.0625,8000.5542
267476101,2.0323,3754.8828,7631.0698
267476141,2.0587,3759.7656,7740.2271
267476179,2.0587,3740.2344,7700.0181
267476219,2.0059,3769.5313,7561.3481
267476258,1.9795,3696.2891,7316.8726
267476298,2.0059,3740.2344,7502.5811
267476338,2.0323,3769.5313,7660.8398
267476377,2.0587,3740.2344,7700.0181
267476417,2.0851,3759.7656,7839.4609
267476456,2.2171,3706.0547,8216.5488
267476496,2.4282,3696.2891,8975.3643
267476536,2.5338,3701.1719,9377.9688
267476575,2.5338,3701.1719,9377.9688
267476615,2.4810,3701.1719,9182.5947
267476654,2.4282,3725.5859,9046.5029
267476694,2.2962,3730.4688,8566.0576
267476732,2.3226,3720.7031,8641.8359
267476772,2.1115,3710.9375,7835.5942
267476812,2.1379,3735.3516,7985.7339
267476851,2.1115,3759.7656,7938.6943
267476891,2.1379,3725.5859,7964.8560
267476930,2.1379,3740.2344,7996.1724
267476970,2.3490,3740.2344,8785.9180
267477010,2.1379,3730.4688,7975.2949
267477049,2.1643,3750.0000,8116.0264
267477089,2.2962,3730.4688,8566.0576
267477128,2.1907,3730.4688,8172.2153
267477168,2.2171,3745.1172,8303.1523
267477208,2.2698,3720.7031,8445.4297
267477246,2.2171,3740.2344,8292.3271
267477286,2.1643,3715.8203,8042.0522
267477325,2.1907,3725.5859,8161.5186
267477365,2.2435,3725.5859,8358.1826
267477405,2.1907,3715.8203,8140.1255
267477444,2.3226,3735.3516,8675.8594
267477484,2.2962,3696.2891,8487.5723
267477523,2.2962,3754.8828,8622.1182
267477563,2.1907,3706.0547,8118.7324
267477603,2.1643,3740.2344,8094.8911
267477642,2.1643,3745.1172,8105.4590
267477682,2.1643,3735.3516,8084.3232
267477721,2.1379,3754.8828,8027.4893
267477761,2.0851,3725.5859,7768.1934
267477800,2.0059,3730.4688,7482.9922
267477839,2.0851,3759.7656,7839.4609
267477879,2.2698,3730.4688,8467.5967
267477918,2.1379,3759.7656,8037.9282
267477958,2.1907,3725.5859,8161.5186
267477997,2.1907,3730.4688,8172.2153
267478037,2.2435,3715.8203,8336.2734
267478077,2.2962,3710.9375,8521.2090
267478116,2.2435,3740.2344,8391.0459
267478156,2.2698,3696.2891,8390.0137
267478195,2.2698,3745.1172,8500.8467
267478235,2.2698,3701.1719,8401.0967
267478275,2.3226,3715.8203,8630.4951
267478313,2.3226,3720.7031,8641.8359
267478353,2.2171,3720.7031,8249.0254
267478392,2.2171,3740.2344,8292.3271
267478432,2.0851,3715.8203,7747.8311
267478472,2.1643,3764.6484,8147.7300
267478511,2.1907,3740.2344,8193.6084
267478551,2.0323,3745.1172,7611.2231
267478590,2.1907,3764.6484,8247.0918
267478630,2.0851,3725.5859,7768.1934
267478670,2.1643,3774.4141,8168.8652
267478709,2.2435,3725.5859,8358.1826
267478749,2.2698,3735.3516,8478.6797
267478788,2.1643,3720.7031,8052.6201
267478828,2.3490,3701.1719,8694.1592
267478867,2.1907,3754.8828,8225.6982
267478906,2.1907,3725.5859,8161.5186
267478946,2.1379,3725.5859,7964.8560
267478985,2.2962,3730.4688,8566.0576
267479025,2.4018,3710.9375,8912.9883
267479065,2.4810,3701.1719,9182.5947
267479104,2.3754,3701.1719,8791.8457
267479144,2.2171,3730.4688,8270.6758
267479183,2.1907,3720.7031,8150.8223
267479223,2.2171,3769.5313,8357.2803
267479262,2.0323,3740.2344,7601.2998
267479302,2.0587,3754.8828,7730.1748
267479342,2.0323,3759.7656,7640.9932
267479380,2.0851,3730.4688,7778.3745
267479420,2.2435,3764.6484,8445.8174
267479459,2.1115,3730.4688,7876.8340
267479499,2.2698,3735.3516,8478.6797
267479539,2.2171,3745.1172,8303.1523
267479578,2.2171,3710.9375,8227.3740
267479618,2.1907,3745.1172,8204.3057
267479657,2.2435,3706.0547,8314.3652
267479697,2.2435,3720.7031,8347.2275
267479737,2.2698,3735.3516,8478.6797
267479776,2.2698,3720.7031,8445.4297
267479816,2.1643,3754.8828,8126.5942
267479855,2.2171,3745.1172,8303.1523
267479895,2.2171,3745.1172,8303.1523
267479934,2.2435,3740.2344,8391.0459
267479973,2.2435,3740.2344,8391.0459
267480013,2.1643,3754.8828,8126.5942
267480052,2.1643,3769.5313,8158.2974
267480092,2.2171,3769.5313,8357.2803
267480132,2.1379,3720.7031,7954.4170
267480171,2.0851,3735.3516,7788.5557
267480211,2.1643,3740.2344,8094.8911
267480250,2.3754,3706.0547,8803.4443
267480290,2.2698,3745.1172,8500.8467
267480330,2.3226,3710.9375,8619.1543
267480369,2.4810,3725.5859,9243.1660
267480409,2.4546,3710.9375,9108.8779
267480448,2.3490,3730.4688,8762.9785
267480487,2.2435,3725.5859,8358.1826
267480526,2.2171,3725.5859,8259.8506
267480566,2.1379,3691.4063,7891.7837
267480606,2.0587,3720.7031,7659.8091
267480645,2.2171,3774.4141,8368.1055
267480685,2.0587,3745.1172,7710.0703
267480724,2.0323,3759.7656,7640.9932
267480764,2.0587,3779.2969,7780.4360
267480804,1.9795,3745.1172,7413.5288
267480843,2.0587,3764.6484,7750.2793
267480883,2.2698,3725.5859,8456.5137
267480922,2.4018,3696.2891,8877.8057
267480962,2.4810,3701.1719,9182.5947
267481001,2.4018,3686.5234,8854.3506
267481040,2.2962,3720.7031,8543.6328
267481080,2.3754,3706.0547,8803.4443
267481119,2.2962,3715.8203,8532.4209
267481159,2.1643,3710.9375,8031.4844
267481199,2.1379,3745.1172,8006.6113
267481238,2.1115,3745.1172,7907.7642
267481278,2.1115,3750.0000,7918.0742
267481317,2.0587,3754.8828,7730.1748
267481357,2.0851,3730.4688,7778.3745
267481397,2.1643,3671.8750,7946.9429
267481436,2.1907,3730.4688,8172.2153
267481476,2.1379,3725.5859,7964.8560
267481515,2.1907,3730.4688,8172.2153
267481554,2.2962,3706.0547,8509.9971
267481594,2.2171,3725.5859,8259.8506
267481633,2.2435,3720.7031,8347.2275
267481673,2.2171,3754.8828,8324.8037
267481712,2.2698,3745.1172,8500.8467
267481752,2.2962,3720.7031,8543.6328
267481791,2.2698,3710.9375,8423.2637
267481831,2.3226,3696.2891,8585.1309
267481871,2.4282,3725.5859,9046.5029
267481910,2.3754,3676.7578,8733.8525
267481950,2.4282,3730.4688,9058.3594
267481989,2.2171,3720.7031,8249.0254
267482029,2.1379,3740.2344,7996.1724
267482068,2.1379,3759.7656,8037.9282
267482107,2.0323,3769.5313,7660.8398
267482147,2.1379,3789.0625,8100.5610
267482186,1.9531,3735.3516,7295.6084
267482226,2.0323,3764.6484,7650.9165
267482266,2.0323,3745.1172,7611.2231
267482305,2.1907,3715.8203,8140.1255
267482345,2.2171,3745.1172,8303.1523
267482384,2.2698,3740.2344,8489.7627
267482424,2.2698,3730.4688,8467.5967
267482464,2.2698,3710.9375,8423.2637
267482503,2.2962,3710.9375,8521.2090
267482543,2.3226,3735.3516,8675.8594
267482582,2.1379,3725.5859,7964.8560
267482621,2.1643,3754.8828,8126.5942
267482661,2.2962,3710.9375,8521.2090
267482700,2.2962,3740.2344,8588.4814
267482740,2.2171,3715.8203,8238.1992
267482779,2.3490,3735.3516,8774.4482
267482819,2.1379,3740.2344,7996.1724
267482859,2.1379,3740.2344,7996.1724
267482898,2.1115,3764.6484,7949.0039
267482938,2.2171,3750.0000,8313.9775
267482977,2.0851,3759.7656,7839.4609
267483017,1.9267,3774.4141,7272.2822
267483056,2.0323,3730.4688,7581.4531
267483096,2.1379,3759.7656,8037.9282
267483136,2.1643,3730.4688,8073.7554
267483174,2.2171,3701.1719,8205.7227
267483214,2.3754,3701.1719,8791.8457
267483253,2.4282,3691.4063,8963.5078
267483293,2.4810,3696.2891,9170.4805
267483333,2.4282,3691.4063,8963.5078
267483372,2.4018,3750.0000,9006.8096
267483412,2.1643,3730.4688,8073.7554
267483451,2.1907,3730.4688,8172.2153
267483491,2.0323,3735.3516,7591.3765
267483531,2.0059,3769.5313,7561.3481
267483570,2.1115,3750.0000,7918.0742
267483610,2.0587,3779.2969,7780.4360
267483649,2.0323,3764.6484,7650.9165
267483688,2.2171,3754.8828,8324.8037
267483728,2.2171,3750.0000,8313.9775
267483767,2.1379,3740.2344,7996.1724
267483807,2.2171,3715.8203,8238.1992
267483846,2.3490,3735.3516,8774.4482
267483886,2.3226,3676.7578,8539.7666
267483926,2.1379,3740.2344,7996.1724
267483965,2.1907,3730.4688,8172.2153
267484005,2.2435,3754.8828,8423.9082
267484044,2.2435,3710.9375,8325.3193
267484084,2.2171,3740.2344,8292.3271
267484124,2.2171,3740.2344,8292.3271
267484163,2.1907,3725.5859,8161.5186
267484203,2.1115,3681.6406,7773.7344
267484241,2.2171,3725.5859,8259.8506
267484281,2.2171,3740.2344,8292.3271
267484320,2.2698,3720.7031,8445.4297
267484360,2.3490,3701.1719,8694.1592
267484400,2.3490,3681.6406,8648.2803
267484439,2.3490,3706.0547,8705.6289
267484479,2.4018,3740.2344,8983.3545
267484518,2.2698,3715.8203,8434.3467
267484558,2.2435,3740.2344,8391.0459
267484598,2.0851,3735.3516,7788.5557
267484637,2.0851,3750.0000,7819.0986
267484677,2.0851,3764.6484,7849.6421
267484716,2.1379,3745.1172,8006.6113
267484755,2.0851,3750.0000,7819.0986
267484795,2.2435,3740.2344,8391.0459
267484834,2.1115,3730.4688,7876.8340
267484874,2.1907,3735.3516,8182.9121
267484913,2.2962,3735.3516,8577.2695
267484953,2.2698,3725.5859,8456.5137
267484993,2.2962,3715.8203,8532.4209
267485032,2.3226,3730.4688,8664.5176
267485072,2.2962,3720.7031,8543.6328
267485111,2.2435,3720.7031,8347.2275
267485151,2.1115,3735.3516,7887.1440
267485191,2.1115,3730.4688,7876.8340
267485230,2.1643,3681.6406,7968.0781
267485270,2.1115,3735.3516,7887.1440
267485308,2.1643,3730.4688,8073.7554
267485348,2.2435,3745.1172,8402.0000
267485388,2.2435,3740.2344,8391.0459
267485427,2.2171,3759.7656,8335.6289
267485467,2.1907,3706.0547,8118.7324
267485506,2.1115,3735.3516,7887.1440
267485546,2.0851,3745.1172,7808.9175
267485585,2.2171,3725.5859,8259.8506
267485625,2.1907,3754.8828,8225.6982
267485665,2.1115,3720.7031,7856.2144
267485704,2.1115,3730.4688,7876.8340
267485744,2.1907,3730.4688,8172.2153
267485783,2.0851,3735.3516,7788.5557
267485822,2.0587,3754.8828,7730.1748
267485862,2.0323,3720.7031,7561.6064
267485901,2.3226,3750.0000,8709.8818
267485941,2.4018,3696.2891,8877.8057
267485980,2.4546,3720.7031,9132.8486
267486020,2.4282,3696.2891,8975.3643
267486060,2.4282,3720.7031,9034.6465
267486099,2.3754,3715.8203,8826.6426
267486139,2.2435,3730.4688,8369.1367
267486178,2.1643,3740.2344,8094.8911
267486218,2.1379,3725.5859,7964.8560
267486258,2.0323,3750.0000,7621.1465
267486297,1.9795,3745.1172,7413.5288
267486337,1.9531,3759.7656,7343.2920
267486375,2.0851,3759.7656,7839.4609
267486415,2.0851,3730.4688,7778.3745
267486455,2.1115,3759.7656,7938.6943
267486494,2.1115,3710.9375,7835.5942
267486534,2.2698,3725.5859,8456.5137
267486573,2.2962,3720.7031,8543.6328
267486613,2.2698,3720.7031,8445.4297
267486653,2.3754,3720.7031,8838.2412
267486692,2.3226,3701.1719,8596.4717
267486732,2.1907,3735.3516,8182.9121
267486771,2.1379,3759.7656,8037.9282
267486811,2.0851,3764.6484,7849.6421
267486850,2.2698,3745.1172,8500.8467
267486889,2.1907,3730.4688,8172.2153
267486929,2.1379,3769.5313,8058.8057
267486968,2.1379,3735.3516,7985.7339
267487008,2.2171,3764.6484,8346.4541
267487047,2.1643,3735.3516,8084.3232
267487087,2.1643,3735.3516,8084.3232
267487127,2.1115,3740.2344,7897.4541
267487166,2.1907,3725.5859,8161.5186
267487206,2.2435,3745.1172,8402.0000
267487245,2.2962,3696.2891,8487.5723
267487285,2.2962,3710.9375,8521.2090
267487325,2.2698,3730.4688,8467.5967
267487364,2.2171,3701.1719,8205.7227
267487404,2.2435,3740.2344,8391.0459
267487442,2.1643,3725.5859,8063.1880
267487482,2.0851,3745.1172,7808.9175
267487522,2.2435,3740.2344,8391.0459
267487561,2.1907,3735.3516,8182.9121
267487601,2.1115,3750.0000,7918.0742
267487640,2.2171,3725.5859,8259.8506
267487680,2.0587,3745.1172,7710.0703
267487720,2.1379,3720.7031,7954.4170
267487759,2.1907,3720.7031,8150.8223
267487799,2.2171,3740.2344,8292.3271
267487838,2.1643,3720.7031,8052.6201
267487878,2.1907,3745.1172,8204.3057
267487918,2.1379,3764.6484,8048.3667
267487956,2.0587,3759.7656,7740.2271
267487996,2.0587,3769.5313,7760.3315
267488035,2.0059,3671.8750,7365.4585
267488075,2.0851,3759.7656,7839.4609
267488114,2.1643,3710.9375,8031.4844
267488154,2.2435,3720.7031,8347.2275
267488194,2.3226,3715.8203,8630.4951
267488233,2.4282,3701.1719,8987.2207
267488273,2.3754,3710.9375,8815.0439
267488312,2.3490,3701.1719,8694.1592
267488352,2.2962,3715.8203,8532.4209
267488392,2.3226,3720.7031,8641.8359
267488431,2.2698,3720.7031,8445.4297
267488471,2.1643,3715.8203,8042.0522
267488509,2.0323,3745.1172,7611.2231
267488549,2.0851,3828.1250,7981.9966
267488589,2.0587,3754.8828,7730.1748
267488628,2.0587,3779.2969,7780.4360
267488668,2.0587,3745.1172,7710.0703
267488707,2.0587,3720.7031,7659.8091
267488747,2.2171,3735.3516,8281.5020
267488787,2.1115,3735.3516,7887.1440
267488826,2.1643,3754.8828,8126.5942
267488866,2.2962,3701.1719,8498.7842
267488905,2.3226,3740.2344,8687.2002
267488945,2.2962,3701.1719,8498.7842
267488985,2.2698,3730.4688,8467.5967
267489024,2.2698,3691.4063,8378.9307
267489063,2.3226,3715.8203,8630.4951
267489102,2.3226,3710.9375,8619.1543
267489142,2.2962,3710.9375,8521.2090
267489182,2.1907,3735.3516,8182.9121
267489221,2.1115,3735.3516,7887.1440
267489261,2.0587,3754.8828,7730.1748
267489300,2.1115,3740.2344,7897.4541
267489340,2.0851,3720.7031,7758.0122
267489379,2.0323,3769.5313,7660.8398
267489419,2.1115,3720.7031,7856.2144
267489459,2.0851,3759.7656,7839.4609
267489498,2.1643,3735.3516,8084.3232
267489538,2.2962,3842.7734,8823.9355
267489576,2.3226,3715.8203,8630.4951
267489616,2.2171,3706.0547,8216.5488
267489656,2.2171,3735.3516,8281.5020
267489695,2.2171,3706.0547,8216.5488
267489735,2.3490,3735.3516,8774.4482
267489774,2.2171,3730.4688,8270.6758
267489814,2.2435,3720.7031,8347.2275
267489854,2.3226,3730.4688,8664.5176
267489893,2.1643,3706.0547,8020.9170
267489933,2.1907,3730.4688,8172.2153
267489972,2.2698,3759.7656,8534.0957
267490012,2.1907,3740.2344,8193.6084
267490052,2.0323,3740.2344,7601.2998
267490091,2.2171,3730.4688,8270.6758
267490130,2.1379,3754.8828,8027.4893
267490169,2.1907,3710.9375,8129.4287
267490209,2.2171,3745.1172,8303.1523
267490249,2.2698,3725.5859,8456.5137
267490288,2.1907,3725.5859,8161.5186
267490328,2.1907,3740.2344,8193.6084
267490367,2.1907,3706.0547,8118.7324
267490407,2.1907,3735.3516,8182.9121
267490447,2.2171,3750.0000,8313.9775
267490486,2.1907,3725.5859,8161.5186
267490526,2.1643,3740.2344,8094.8911
267490565,2.1907,3730.4688,8172.2153
267490605,2.1643,3759.7656,8137.1621
267490643,2.1643,3740.2344,8094.8911
267490683,2.0323,3754.8828,7631.0698
267490723,2.0851,3740.2344,7798.7368
267490762,2.2171,3710.9375,8227.3740
267490802,2.2435,3750.0000,8412.9541
267490841,2.1907,3720.7031,8150.8223
267490881,2.1907,3730.4688,8172.2153
267490921,2.2435,3715.8203,8336.2734
267490960,2.2698,3710.9375,8423.2637
267491000,2.2171,3750.0000,8313.9775
267491039,2.2698,3706.0547,8412.1807
267491079,2.3226,3735.3516,8675.8594
267491119,2.1379,3720.7031,7954.4170
267491158,2.2435,3740.2344,8391.0459
267491197,2.2962,3735.3516,8577.2695
267491236,2.1379,3730.4688,7975.2949
267491276,2.1643,3754.8828,8126.5942
267491316,2.1643,3725.5859,8063.1880
267491355,2.1907,3750.0000,8215.0020
267491395,2.2171,3720.7031,8249.0254
267491434,2.2435,3720.7031,8347.2275
267491474,2.1907,3735.3516,8182.9121
267491514,2.2171,3706.0547,8216.5488
267491553,2.1643,3725.5859,8063.1880
267491593,2.2171,3710.9375,8227.3740
267491632,2.2435,3730.4688,8369.1367
267491672,2.3754,3740.2344,8884.6357
267491712,2.2171,3730.4688,8270.6758
267491750,2.1907,3750.0000,8215.0020
267491790,2.2962,3715.8203,8532.4209
267491829,2.1907,3696.2891,8097.3389
267491869,2.2171,3725.5859,8259.8506
267491908,2.1643,3735.3516,8084.3232
267491948,2.1115,3769.5313,7959.3140
267491988,2.1907,3725.5859,8161.5186
267492027,2.0323,3759.7656,7640.9932
267492067,2.1115,3754.8828,7928.3843
267492106,2.0059,3730.4688,7482.9922
267492146,2.1379,3754.8828,8027.4893
267492186,2.1907,3706.0547,8118.7324
267492225,2.3226,3740.2344,8687.2002
267492264,2.2435,3710.9375,8325.3193
267492303,2.4810,3706.0547,9194.7090
267492343,2.4018,3725.5859,8948.1719
267492383,2.4282,3691.4063,8963.5078
267492422,2.4546,3710.9375,9108.8779
267492462,2.3226,3710.9375,8619.1543
267492501,2.2962,3730.4688,8566.0576
267492541,2.2171,3715.8203,8238.1992
267492581,2.2171,3759.7656,8335.6289
267492620,2.1643,3720.7031,8052.6201
267492660,2.0851,3774.4141,7870.0044
267492699,2.0323,3745.1172,7611.2231
267492739,2.0059,3745.1172,7512.3760
267492779,2.0059,3789.0625,7600.5264
267492817,2.1379,3730.4688,7975.2949
267492857,2.2435,3872.0703,8686.8135
267492896,2.1643,3730.4688,8073.7554
267492936,2.3754,3691.4063,8768.6484
267492976,2.4018,3706.0547,8901.2607
267493015,2.5338,3686.5234,9340.8525
267493055,2.4546,3701.1719,9084.9072
267493094,2.4546,3676.7578,9024.9805
267493134,2.4810,3735.3516,9267.3945
267493173,2.2698,3549.8047,8057.5166
267493213,2.2698,3750.0000,8511.9297
267493253,2.2435,3710.9375,8325.3193
267493292,2.2171,3745.1172,8303.1523
267493331,2.0587,3740.2344,7700.0181
267493370,1.9531,3774.4141,7371.9023
267493410,1.9531,3769.5313,7362.3657
267493450,2.0851,3730.4688,7778.3745
267493489,2.0851,3769.5313,7859.8232
267493529,2.0851,3754.8828,7829.2798
267493568,2.1115,3730.4688,7876.8340
267493608,2.2435,3745.1172,8402.0000
267493648,2.2698,3706.0547,8412.1807
267493687,2.2698,3730.4688,8467.5967
267493727,2.3226,3706.0547,8607.8125
267493766,2.2171,3701.1719,8205.7227
267493806,2.1115,3735.3516,7887.1440
267493846,2.2435,3710.9375,8325.3193
267493884,2.1643,3740.2344,8094.8911
267493924,2.1379,3706.0547,7923.1006
267493963,2.1907,3750.0000,8215.0020
267494003,2.1907,3725.5859,8161.5186
267494043,2.2435,3715.8203,8336.2734
267494082,2.2435,3720.7031,8347.2275
267494122,2.3490,3686.5234,8659.7500
267494161,2.1907,3740.2344,8193.6084
267494201,2.1643,3710.9375,8031.4844
267494241,2.1907,3701.1719,8108.0356
267494280,2.2171,3730.4688,8270.6758
267494320,2.1379,3720.7031,7954.4170
267494359,2.2171,3754.8828,8324.8037
267494398,2.2171,3710.9375,8227.3740
267494437,2.1115,3764.6484,7949.0039
267494477,2.1643,3730.4688,8073.7554
267494517,2.2435,3730.4688,8369.1367
267494556,2.2171,3740.2344,8292.3271
267494596,2.1643,3710.9375,8031.4844
267494635,2.1379,3764.6484,8048.3667
267494675,2.1907,3735.3516,8182.9121
267494715,2.1115,3740.2344,7897.4541
267494754,2.1115,3745.1172,7907.7642
267494794,2.1643,3706.0547,8020.9170
267494833,2.1379,3745.1172,8006.6113
267494873,2.1907,3720.7031,8150.8223
267494913,2.1643,3769.5313,8158.2974
267494951,2.0587,3735.3516,7689.9658
267494991,2.0059,3740.2344,7502.5811
267495030,2.0587,3720.7031,7659.8091
267495070,2.0851,3725.5859,7768.1934
267495110,2.1907,3750.0000,8215.0020
267495149,2.2962,3710.9375,8521.2090
267495189,2.4546,3706.0547,9096.8926
267495228,2.4018,3676.7578,8830.8955
267495268,2.4810,3715.8203,9218.9375
267495308,2.3490,3701.1719,8694.1592
267495347,2.3490,3720.7031,8740.0391
267495387,2.3754,3720.7031,8838.2412
267495426,2.3490,3720.7031,8740.0391
267495465,2.1115,3735.3516,7887.1440
267495505,2.0851,3754.8828,7829.2798
267495544,1.9003,3789.0625,7200.4985
267495584,1.8476,3750.0000,6928.3149
267495623,1.8739,3774.4141,7073.0415
267495663,1.9267,3769.5313,7262.8745
267495702,2.1907,3725.5859,8161.5186
267495742,2.1115,3750.0000,7918.0742
267495782,2.4018,3701.1719,8889.5332
267495821,2.3226,3701.1719,8596.4717
267495861,2.3490,3701.1719,8694.1592
267495900,2.4018,3715.8203,8924.7158
267495940,2.2171,3725.5859,8259.8506
267495980,2.2698,3735.3516,8478.6797
267496018,2.1115,3754.8828,7928.3843
267496058,2.1379,3725.5859,7964.8560
267496097,2.1907,3759.7656,8236.3955
267496137,2.1379,3740.2344,7996.1724
267496177,2.2171,3706.0547,8216.5488
267496216,2.1907,3750.0000,8215.0020
267496256,2.1379,3710.9375,7933.5396
267496295,2.2171,3696.2891,8194.8975
267496335,2.2698,3706.0547,8412.1807
267496375,2.2435,3730.4688,8369.1367
267496414,2.2171,3725.5859,8259.8506
267496454,2.3226,3710.9375,8619.1543
267496493,2.2962,3691.4063,8476.3604
267496532,2.2435,3696.2891,8292.4561
267496572,2.2171,3750.0000,8313.9775
267496611,2.2171,3706.0547,8216.5488
267496651,2.2171,3725.5859,8259.8506
267496690,2.2171,3745.1172,8303.1523
267496730,2.1115,3720.7031,7856.2144
267496770,2.1379,3740.2344,7996.1724
267496809,2.0059,3759.7656,7541.7593
267496849,2.0323,3769.5313,7660.8398
267496888,1.9531,3764.6484,7352.8291
267496928,2.0587,3740.2344,7700.0181
267496967,2.0851,3750.0000,7819.0986
267497007,2.1643,3745.1172,8105.4590
267497047,2.3754,3715.8203,8826.6426
267497085,2.4282,3701.1719,8987.2207
267497125,2.3754,3710.9375,8815.0439
267497164,2.4546,3686.5234,9048.9512
267497204,2.4810,3691.4063,9158.3662
267497244,2.4546,3706.0547,9096.8926
267497283,2.3226,3720.7031,8641.8359
267497323,2.1379,3730.4688,7975.2949
267497362,2.0059,3745.1172,7512.3760
267497402,2.0851,3774.4141,7870.0044
267497442,2.0059,3745.1172,7512.3760
267497481,2.0587,3759.7656,7740.2271
267497521,2.0587,3593.7500,7398.4507
267497560,2.1379,3740.2344,7996.1724
267497600,2.2171,3735.3516,8281.5020
267497639,2.2698,3725.5859,8456.5137
267497678,2.1643,3735.3516,8084.3232
267497718,2.1379,3730.4688,7975.2949
267497757,2.2435,3710.9375,8325.3193
267497797,2.2171,3740.2344,8292.3271
267497837,2.1643,3720.7031,8052.6201
267497876,2.2962,3740.2344,8588.4814
267497916,2.1907,3701.1719,8108.0356
267497955,2.1643,3740.2344,8094.8911
267497995,2.1907,3725.5859,8161.5186
267498035,2.1379,3754.8828,8027.4893
267498074,2.2171,3759.7656,8335.6289
267498114,2.1643,3730.4688,8073.7554
267498152,2.0851,3740.2344,7798.7368
267498192,2.1379,3750.0000,8017.0503
267498231,2.1115,3725.5859,7866.5239
267498271,2.1643,3759.7656,8137.1621
267498311,2.2435,3720.7031,8347.2275
267498350,2.2435,3735.3516,8380.0908
267498390,2.1907,3730.4688,8172.2153
267498429,2.3226,3735.3516,8675.8594
267498469,2.1907,3754.8828,8225.6982
267498509,2.1907,3706.0547,8118.7324
267498548,2.1379,3735.3516,7985.7339
267498588,2.0587,3735.3516,7689.9658
267498627,2.2171,3720.7031,8249.0254
267498667,2.2962,3720.7031,8543.6328
267498706,2.3226,3691.4063,8573.7900
267498745,2.3226,3735.3516,8675.8594
267498785,2.3226,3710.9375,8619.1543
267498824,2.2171,3701.1719,8205.7227
267498864,2.1379,3740.2344,7996.1724
267498904,2.2171,3735.3516,8281.5020
267498943,2.1907,3750.0000,8215.0020
267498983,2.2698,3715.8203,8434.3467
267499022,2.1379,3750.0000,8017.0503
267499062,2.1643,3710.9375,8031.4844
267499102,2.2435,3725.5859,8358.1826
267499141,2.2435,3740.2344,8391.0459
267499181,2.1907,3710.9375,8129.4287
267499219,2.1379,3745.1172,8006.6113
267499259,2.0323,3730.4688,7581.4531
267499299,2.0323,3818.3594,7760.0737
267499338,2.0851,3764.6484,7849.6421
267499378,2.0059,3745.1172,7512.3760
267499417,2.0323,3754.8828,7631.0698
267499457,2.1115,3730.4688,7876.8340
267499496,2.1643,3745.1172,8105.4590
267499536,2.1907,3740.2344,8193.6084
267499576,2.3490,3706.0547,8705.6289
267499615,2.4546,3706.0547,9096.8926
267499655,2.5338,3671.8750,9303.7373
267499694,2.5074,3681.6406,9231.3096
267499734,2.3754,3686.5234,8757.0498
267499773,2.3490,3701.1719,8694.1592
267499812,2.1907,3759.7656,8236.3955
267499852,2.1115,3745.1172,7907.7642
267499891,2.1379,3710.9375,7933.5396
