6674
??N??980.2111,4052.7344,855.7294
258956802,2.1115,3764.6484,7949.0039
258956840,2.0851,3774.4141,7870.0044
258956880,1.9531,3769.5313,7362.3657
258956919,2.0059,3769.5313,7561.3481
258956959,2.1907,3779.2969,8279.1816
258956999,2.2962,3740.2344,8588.4814
258957038,2.3754,3710.9375,8815.0439
258957078,2.3490,3710.9375,8717.0996
258957117,2.4546,3720.7031,9132.8486
258957157,2.3754,3720.7031,8838.2412
258957197,2.2171,3779.2969,8378.9307
258957236,2.0587,3759.7656,7740.2271
258957276,2.0059,3798.8281,7620.1152
258957315,2.0851,3774.4141,7870.0044
258957355,2.0323,3793.9453,7710.4565
258957394,1.9531,3789.0625,7400.5127
258957433,1.8739,3779.2969,7082.1919
258957473,1.9795,3808.5938,7539.1821
258957512,2.0059,3803.7109,7629.9097
258957552,2.1115,3779.2969,7979.9341
258957592,2.1379,3754.8828,8027.4893
258957631,2.2698,3740.2344,8489.7627
258957671,2.2962,3754.8828,8622.1182
258957710,2.4018,3725.5859,8948.1719
258957750,2.2962,3740.2344,8588.4814
258957790,2.3754,3720.7031,8838.2412
258957829,2.4018,3730.4688,8959.8994
258957869,2.4810,3710.9375,9206.8232
258957907,2.3490,3740.2344,8785.9180
258957947,2.2435,3754.8828,8423.9082
258957987,2.0587,3754.8828,7730.1748
258958026,2.0851,3750.0000,7819.0986
258958066,2.0851,3764.6484,7849.6421
258958105,2.0059,3793.9453,7610.3208
258958145,1.9795,3754.8828,7432.8604
258958184,1.9531,3789.0625,7400.5127
258958224,2.1115,3769.5313,7959.3140
258958264,1.9267,3803.7109,7328.7295
258958303,2.0323,3793.9453,7710.4565
258958343,2.0587,3754.8828,7730.1748
258958382,2.1907,3764.6484,8247.0918
258958422,2.1379,3735.3516,7985.7339
258958461,2.2698,3779.2969,8578.4287
258958500,2.3226,3720.7031,8641.8359
258958540,2.4018,3740.2344,8983.3545
258958579,2.5338,3710.9375,9402.7129
258958619,2.3490,3750.0000,8808.8584
258958659,2.2962,3735.3516,8577.2695
258958698,2.3226,3769.5313,8755.2461
258958738,2.2698,3769.5313,8556.2627
258958777,2.1907,3764.6484,8247.0918
258958817,2.1115,3818.3594,8062.4141
258958857,2.0587,3754.8828,7730.1748
258958896,2.0851,3798.8281,7920.9102
258958936,2.0851,3764.6484,7849.6421
258958974,2.2698,3774.4141,8567.3457
258959014,2.2171,3759.7656,8335.6289
258959054,2.2435,3759.7656,8434.8633
258959093,2.0587,3784.1797,7790.4883
258959133,2.0851,3735.3516,7788.5557
258959172,2.1643,3769.5313,8158.2974
258959212,2.0587,3750.0000,7720.1226
258959252,2.1907,3735.3516,8182.9121
258959291,2.1907,3764.6484,8247.0918
258959331,2.0323,3740.2344,7601.2998
258959370,2.1379,3774.4141,8069.2446
258959410,2.1115,3735.3516,7887.1440
258959449,2.2962,3769.5313,8655.7539
258959489,2.1907,3745.1172,8204.3057
258959528,2.2698,3769.5313,8556.2627
258959567,2.2698,3745.1172,8500.8467
258959607,2.3226,3745.1172,8698.5410
258959646,2.2171,3750.0000,8313.9775
258959686,2.1907,3764.6484,8247.0918
258959726,2.1643,3774.4141,8168.8652
258959765,2.1379,3759.7656,8037.9282
258959805,2.1115,3803.7109,8031.4839
258959844,1.9795,3784.1797,7490.8540
258959884,2.0059,3779.2969,7580.9370
258959924,2.1379,3774.4141,8069.2446
258959963,2.1907,3759.7656,8236.3955
258960003,2.2962,3750.0000,8610.9053
258960041,2.2698,3735.3516,8478.6797
258960081,2.3490,3759.7656,8831.7979
258960121,2.4282,3710.9375,9010.9336
258960160,2.4018,3740.2344,8983.3545
258960200,2.2698,3730.4688,8467.5967
258960239,2.2435,3754.8828,8423.9082
258960279,2.2435,3750.0000,8412.9541
258960319,2.1379,3769.5313,8058.8057
258960358,2.0059,3779.2969,7580.9370
258960398,1.9267,3769.5313,7262.8745
258960437,1.9267,3798.8281,7319.3218
258960477,2.0059,3754.8828,7531.9648
258960517,2.0851,3750.0000,7819.0986
258960556,2.1115,3735.3516,7887.1440
258960595,2.2962,3735.3516,8577.2695
258960634,2.1907,3754.8828,8225.6982
258960674,2.2698,3745.1172,8500.8467
258960713,2.3490,3754.8828,8820.3281
258960753,2.2435,3730.4688,8369.1367
258960793,2.2435,3774.4141,8467.7256
258960832,2.1643,3750.0000,8116.0264
258960872,2.0851,3769.5313,7859.8232
258960911,2.0587,3769.5313,7760.3315
258960951,2.0851,3769.5313,7859.8232
258960991,2.2435,3764.6484,8445.8174
258961030,2.0851,3754.8828,7829.2798
258961070,2.0587,3793.9453,7810.5928
258961108,2.0323,3754.8828,7631.0698
258961148,2.1379,3784.1797,8090.1226
258961188,2.3490,3730.4688,8762.9785
258961227,2.3490,3725.5859,8751.5088
258961267,2.4018,3725.5859,8948.1719
258961306,2.4018,3715.8203,8924.7158
258961346,2.2962,3740.2344,8588.4814
258961386,2.1907,3745.1172,8204.3057
258961425,2.1907,3769.5313,8257.7881
258961465,2.1907,3735.3516,8182.9121
258961504,2.1379,3784.1797,8090.1226
258961544,2.1115,3759.7656,7938.6943
258961584,2.2698,3759.7656,8534.0957
258961623,2.1907,3740.2344,8193.6084
258961662,2.2698,3735.3516,8478.6797
258961701,2.2171,3754.8828,8324.8037
258961741,2.1379,3740.2344,7996.1724
258961781,2.0587,3750.0000,7720.1226
258961820,2.0323,3774.4141,7670.7632
258961860,2.0323,3823.2422,7769.9971
258961899,2.0851,3769.5313,7859.8232
258961939,2.0851,3764.6484,7849.6421
258961978,2.2171,3754.8828,8324.8037
258962018,2.3490,3745.1172,8797.3887
258962058,2.2962,3750.0000,8610.9053
258962097,2.3490,3720.7031,8740.0391
258962137,2.3490,3745.1172,8797.3887
258962176,2.2435,3735.3516,8380.0908
258962215,2.1907,3779.2969,8279.1816
258962255,2.1907,3745.1172,8204.3057
258962294,2.0587,3769.5313,7760.3315
258962334,2.1907,3774.4141,8268.4854
258962373,2.1115,3847.6563,8124.2739
258962413,2.1643,3774.4141,8168.8652
258962453,2.1115,3740.2344,7897.4541
258962492,2.0851,3793.9453,7910.7290
258962532,2.0851,3754.8828,7829.2798
258962571,2.0587,3769.5313,7760.3315
258962611,2.1907,3764.6484,8247.0918
258962651,2.2698,3735.3516,8478.6797
258962690,2.3754,3740.2344,8884.6357
258962729,2.2435,3725.5859,8358.1826
258962768,2.2171,3764.6484,8346.4541
258962808,2.1907,3735.3516,8182.9121
258962848,2.1907,3769.5313,8257.7881
258962887,2.2435,3745.1172,8402.0000
258962927,2.3226,3764.6484,8743.9053
258962966,2.2435,3750.0000,8412.9541
258963006,2.0323,3754.8828,7631.0698
258963046,2.1379,3779.2969,8079.6836
258963085,2.1115,3750.0000,7918.0742
258963125,2.1115,3798.8281,8021.1738
258963164,2.1115,3769.5313,7959.3140
258963204,2.2435,3754.8828,8423.9082
258963243,2.2962,3740.2344,8588.4814
258963282,2.1907,3735.3516,8182.9121
258963322,2.4282,3789.0625,9200.6377
258963361,2.2435,3735.3516,8380.0908
258963401,2.2435,3754.8828,8423.9082
258963440,2.1907,3730.4688,8172.2153
258963480,2.0851,3774.4141,7870.0044
258963520,2.1379,3759.7656,8037.9282
258963559,2.1115,3759.7656,7938.6943
258963599,2.0851,3769.5313,7859.8232
258963638,2.0851,3754.8828,7829.2798
258963678,2.1907,3764.6484,8247.0918
258963718,2.2171,3730.4688,8270.6758
258963757,2.3754,3754.8828,8919.4326
258963796,2.2698,3710.9375,8423.2637
258963835,2.2435,3735.3516,8380.0908
258963875,2.3490,3745.1172,8797.3887
258963915,2.1115,3745.1172,7907.7642
258963954,2.1115,3769.5313,7959.3140
258963994,2.0323,3764.6484,7650.9165
258964033,1.9531,3808.5938,7438.6597
258964073,2.0323,3759.7656,7640.9932
258964113,2.1115,3779.2969,7979.9341
258964152,2.1643,3852.5391,8337.9492
258964192,2.1907,3750.0000,8215.0020
258964231,2.2962,3750.0000,8610.9053
258964271,2.4018,3696.2891,8877.8057
258964311,2.4018,3710.9375,8912.9883
258964349,2.3490,3710.9375,8717.0996
258964389,2.3226,3735.3516,8675.8594
258964428,2.2171,3725.5859,8259.8506
258964468,2.1643,3764.6484,8147.7300
258964507,2.0323,3750.0000,7621.1465
258964547,1.9267,3798.8281,7319.3218
258964587,2.0587,3789.0625,7800.5405
258964626,1.9003,3803.7109,7228.3359
258964666,1.9795,3789.0625,7500.5195
258964705,2.1115,3769.5313,7959.3140
258964745,2.1643,3769.5313,8158.2974
258964785,2.0851,3754.8828,7829.2798
258964824,2.2171,3764.6484,8346.4541
258964864,2.2171,3740.2344,8292.3271
258964902,2.3226,3750.0000,8709.8818
258964942,2.3226,3725.5859,8653.1768
258964982,2.2698,3745.1172,8500.8467
258965021,2.3754,3740.2344,8884.6357
258965061,2.3490,3735.3516,8774.4482
258965100,2.2435,3764.6484,8445.8174
258965140,2.2698,3725.5859,8456.5137
258965180,2.1643,3769.5313,8158.2974
258965219,2.1379,3740.2344,7996.1724
258965259,2.1907,3774.4141,8268.4854
258965298,2.1115,3759.7656,7938.6943
258965338,2.0323,3779.2969,7680.6865
258965378,2.1115,3769.5313,7959.3140
258965416,1.9795,3808.5938,7539.1821
258965456,2.0851,3793.9453,7910.7290
258965495,2.0851,3750.0000,7819.0986
258965535,2.2171,3769.5313,8357.2803
258965575,2.2698,3759.7656,8534.0957
258965614,2.2698,3725.5859,8456.5137
258965654,2.2962,3730.4688,8566.0576
258965693,2.3226,3725.5859,8653.1768
258965733,2.2962,3745.1172,8599.6934
258965772,2.2698,3764.6484,8545.1797
258965812,2.1115,3779.2969,7979.9341
258965852,2.1115,3754.8828,7928.3843
258965891,2.0851,3779.2969,7880.1855
258965931,2.0851,3759.7656,7839.4609
258965969,2.0851,3764.6484,7849.6421
258966009,2.2962,3750.0000,8610.9053
258966049,2.2171,3750.0000,8313.9775
258966088,2.3490,3745.1172,8797.3887
258966128,2.2962,3720.7031,8543.6328
258966167,2.3490,3745.1172,8797.3887
258966207,2.3226,3735.3516,8675.8594
258966247,2.2171,3774.4141,8368.1055
258966286,2.0323,3754.8828,7631.0698
258966326,2.0587,3808.5938,7840.7495
258966365,1.9531,3808.5938,7438.6597
258966405,2.0059,3784.1797,7590.7319
258966445,2.0323,3784.1797,7690.6099
258966483,2.0587,3769.5313,7760.3315
258966523,2.1115,3779.2969,7979.9341
258966562,2.1907,3754.8828,8225.6982
258966602,2.2171,3769.5313,8357.2803
258966642,2.2698,3730.4688,8467.5967
258966681,2.3754,3642.5781,8652.6611
258966721,2.5074,3720.7031,9329.2549
258966760,2.4810,3735.3516,9267.3945
258966800,2.2698,3725.5859,8456.5137
258966840,2.2171,3745.1172,8303.1523
258966879,2.1907,3637.6953,7968.9795
258966919,2.1115,3735.3516,7887.1440
258966958,2.1907,3779.2969,8279.1816
258966998,2.0851,3745.1172,7808.9175
258967036,1.9531,3784.1797,7390.9761
258967076,2.1115,3740.2344,7897.4541
258967116,2.0323,3774.4141,7670.7632
258967155,2.0587,3769.5313,7760.3315
258967195,2.1643,3833.0078,8295.6777
258967234,2.1907,3784.1797,8289.8779
258967274,2.1115,3750.0000,7918.0742
258967314,2.2171,3779.2969,8378.9307
258967353,2.3490,3745.1172,8797.3887
258967393,2.3226,3754.8828,8721.2227
258967432,2.2698,3745.1172,8500.8467
258967472,2.2962,3720.7031,8543.6328
258967512,2.3490,3730.4688,8762.9785
258967550,2.2962,3701.1719,8498.7842
258967590,2.1907,3764.6484,8247.0918
258967629,2.1115,3754.8828,7928.3843
258967669,2.0587,3798.8281,7820.6450
258967709,1.9531,3784.1797,7390.9761
258967748,1.9795,3798.8281,7519.8506
258967788,2.0059,3779.2969,7580.9370
258967827,1.9795,3769.5313,7461.8569
258967867,2.0323,3798.8281,7720.3799
258967907,2.0323,3745.1172,7611.2231
258967946,2.0851,3789.0625,7900.5479
258967986,2.2435,3730.4688,8369.1367
258968025,2.3490,3754.8828,8820.3281
258968065,2.5074,3681.6406,9231.3096
258968104,2.5074,3681.6406,9231.3096
258968143,2.4546,3735.3516,9168.8047
258968183,2.4018,3735.3516,8971.6270
258968222,2.3754,3725.5859,8849.8398
258968262,2.2171,3769.5313,8357.2803
258968301,2.1643,3750.0000,8116.0264
258968341,2.0851,3784.1797,7890.3667
258968381,2.0587,3774.4141,7770.3838
258968420,2.0059,3735.3516,7492.7866
258968460,2.0323,3745.1172,7611.2231
258968499,1.9795,3764.6484,7452.1914
258968539,2.0851,3789.0625,7900.5479
258968579,2.2171,3735.3516,8281.5020
258968617,2.2171,3750.0000,8313.9775
258968657,2.2435,3745.1172,8402.0000
258968696,2.2962,3759.7656,8633.3301
258968736,2.1643,3759.7656,8137.1621
258968776,2.1643,3745.1172,8105.4590
258968815,2.2435,3764.6484,8445.8174
258968855,2.2171,3725.5859,8259.8506
258968894,2.1643,3735.3516,8084.3232
258968934,2.1907,3754.8828,8225.6982
258968974,2.1643,3764.6484,8147.7300
258969013,2.2171,3759.7656,8335.6289
258969053,2.1379,3750.0000,8017.0503
258969092,2.1907,3764.6484,8247.0918
258969132,2.1379,3720.7031,7954.4170
258969171,2.1115,3754.8828,7928.3843
258969210,2.1379,3730.4688,7975.2949
258969250,2.2435,3774.4141,8467.7256
258969289,2.1379,3759.7656,8037.9282
258969329,2.2171,3745.1172,8303.1523
258969369,2.1643,3759.7656,8137.1621
258969408,2.2435,3754.8828,8423.9082
258969448,2.2171,3769.5313,8357.2803
258969487,2.2171,3725.5859,8259.8506
258969527,2.1907,3754.8828,8225.6982
258969566,2.2171,3735.3516,8281.5020
258969606,2.1907,3759.7656,8236.3955
258969646,2.3226,3759.7656,8732.5635
258969684,2.0587,3764.6484,7750.2793
258969724,2.1643,3774.4141,8168.8652
258969763,2.1115,3740.2344,7897.4541
258969803,2.2698,3774.4141,8567.3457
258969843,2.2698,3730.4688,8467.5967
258969882,2.1115,3769.5313,7959.3140
258969922,2.2962,3754.8828,8622.1182
258969961,2.2698,3764.6484,8545.1797
258970001,2.2698,3745.1172,8500.8467
258970041,2.2435,3735.3516,8380.0908
258970080,2.1115,3754.8828,7928.3843
258970120,2.1115,3740.2344,7897.4541
258970159,2.1643,3745.1172,8105.4590
258970199,2.1379,3750.0000,8017.0503
258970238,2.1643,3764.6484,8147.7300
258970277,2.1379,3745.1172,8006.6113
258970317,2.1115,3764.6484,7949.0039
258970356,2.1643,3754.8828,8126.5942
258970396,2.2698,3730.4688,8467.5967
258970436,2.2698,3740.2344,8489.7627
258970475,2.2435,3740.2344,8391.0459
258970515,2.1379,3793.9453,8111.0000
258970554,2.1115,3745.1172,7907.7642
258970594,2.1643,3769.5313,8158.2974
258970634,2.2698,3769.5313,8556.2627
258970673,2.1115,3750.0000,7918.0742
258970713,2.2698,3764.6484,8545.1797
258970752,2.1643,3740.2344,8094.8911
258970791,2.2171,3754.8828,8324.8037
258970830,2.2171,3740.2344,8292.3271
258970870,2.1379,3784.1797,8090.1226
258970910,2.2171,3745.1172,8303.1523
258970949,2.1115,3774.4141,7969.6240
258970989,2.2435,3764.6484,8445.8174
258971028,2.2435,3750.0000,8412.9541
258971068,2.2171,3769.5313,8357.2803
258971108,2.1379,3735.3516,7985.7339
258971147,2.2435,3774.4141,8467.7256
258971187,2.3226,3745.1172,8698.5410
258971226,2.1379,3774.4141,8069.2446
258971266,2.1115,3759.7656,7938.6943
258971305,2.2435,3730.4688,8369.1367
258971344,2.2435,3745.1172,8402.0000
258971384,2.2698,3720.7031,8445.4297
258971423,2.1907,3750.0000,8215.0020
258971463,2.1379,3730.4688,7975.2949
258971503,2.1115,3769.5313,7959.3140
258971542,2.0851,3740.2344,7798.7368
258971582,2.0851,3789.0625,7900.5479
258971621,2.1115,3750.0000,7918.0742
258971661,2.2171,3769.5313,8357.2803
258971701,2.1379,3891.6016,8319.7773
258971740,2.2435,3725.5859,8358.1826
258971780,2.3226,3764.6484,8743.9053
258971819,2.1115,3740.2344,7897.4541
258971858,2.1907,3750.0000,8215.0020
258971898,2.2171,3764.6484,8346.4541
258971937,2.1379,3769.5313,8058.8057
258971977,2.1907,3740.2344,8193.6084
258972016,2.2171,3754.8828,8324.8037
258972056,2.2962,3750.0000,8610.9053
258972095,2.2698,3735.3516,8478.6797
258972135,2.2435,3754.8828,8423.9082
258972175,2.1907,3730.4688,8172.2153
258972214,2.1379,3769.5313,8058.8057
258972254,2.1907,3735.3516,8182.9121
258972293,2.2171,3774.4141,8368.1055
258972333,2.1907,3754.8828,8225.6982
258972372,2.1379,3764.6484,8048.3667
258972411,2.1907,3750.0000,8215.0020
258972451,2.1907,3735.3516,8182.9121
258972490,2.1643,3750.0000,8116.0264
258972530,2.1115,3745.1172,7907.7642
258972570,2.0323,3774.4141,7670.7632
258972609,2.0851,3754.8828,7829.2798
258972649,2.1379,3774.4141,8069.2446
258972688,2.0851,3754.8828,7829.2798
258972728,2.1907,3730.4688,8172.2153
258972768,2.2435,3754.8828,8423.9082
258972807,2.2435,3730.4688,8369.1367
258972847,2.2171,3774.4141,8368.1055
258972886,2.1643,3730.4688,8073.7554
258972925,2.1643,3754.8828,8126.5942
258972965,2.1643,3759.7656,8137.1621
258973004,2.2171,3764.6484,8346.4541
258973044,2.1907,3740.2344,8193.6084
258973083,2.2698,3730.4688,8467.5967
258973123,2.2698,3754.8828,8523.0127
258973163,2.1643,3750.0000,8116.0264
258973202,2.2962,3759.7656,8633.3301
258973242,2.3226,3730.4688,8664.5176
258973281,2.2171,3769.5313,8357.2803
258973321,2.1907,3750.0000,8215.0020
258973360,2.1907,3774.4141,8268.4854
258973400,2.1379,3764.6484,8048.3667
258973440,2.1115,3759.7656,7938.6943
258973478,2.1907,3637.6953,7968.9795
258973518,2.0587,3735.3516,7689.9658
258973557,2.0059,3793.9453,7610.3208
258973597,2.1115,3750.0000,7918.0742
258973637,2.1115,3769.5313,7959.3140
258973676,2.1643,3754.8828,8126.5942
258973716,2.2698,3725.5859,8456.5137
258973755,2.3226,3754.8828,8721.2227
258973795,2.2698,3725.5859,8456.5137
258973835,2.1643,3759.7656,8137.1621
258973874,2.1907,3745.1172,8204.3057
258973914,2.1907,3774.4141,8268.4854
258973953,2.2435,3769.5313,8456.7715
258973992,2.2962,3750.0000,8610.9053
258974032,2.2171,3764.6484,8346.4541
258974071,2.0851,3764.6484,7849.6421
258974111,2.1115,3769.5313,7959.3140
258974150,2.0323,3759.7656,7640.9932
258974190,2.0587,3784.1797,7790.4883
258974230,2.1379,3745.1172,8006.6113
258974269,2.1907,3808.5938,8343.3613
258974309,2.1379,3764.6484,8048.3667
258974348,2.2435,3759.7656,8434.8633
258974388,2.1907,3750.0000,8215.0020
258974428,2.1907,3754.8828,8225.6982
258974467,2.0851,3759.7656,7839.4609
258974507,2.0323,3754.8828,7631.0698
258974545,2.0587,3793.9453,7810.5928
258974585,2.1379,3745.1172,8006.6113
258974624,2.1907,3764.6484,8247.0918
258974664,2.1907,3750.0000,8215.0020
258974704,2.1907,3759.7656,8236.3955
258974743,2.2962,3725.5859,8554.8447
258974783,2.3490,3696.2891,8682.6895
258974822,2.1643,3745.1172,8105.4590
258974862,2.1115,3735.3516,7887.1440
258974902,2.2171,3774.4141,8368.1055
258974941,2.1379,3750.0000,8017.0503
258974981,2.1643,3779.2969,8179.4331
258975020,2.1379,3754.8828,8027.4893
258975059,2.1115,3764.6484,7949.0039
258975099,2.1115,3769.5313,7959.3140
258975138,2.1907,3735.3516,8182.9121
258975178,2.2698,3754.8828,8523.0127
258975217,2.2435,3745.1172,8402.0000
258975257,2.2171,3774.4141,8368.1055
258975297,2.0587,3740.2344,7700.0181
258975336,2.1379,3769.5313,8058.8057
258975376,2.1907,3740.2344,8193.6084
258975415,2.0323,3774.4141,7670.7632
258975455,2.1907,3764.6484,8247.0918
258975495,2.1379,3730.4688,7975.2949
258975534,2.1643,3769.5313,8158.2974
258975574,2.1379,3730.4688,7975.2949
258975612,2.1907,3759.7656,8236.3955
258975652,2.2962,3735.3516,8577.2695
258975692,2.2962,3735.3516,8577.2695
258975731,2.2435,3750.0000,8412.9541
258975771,2.1643,3754.8828,8126.5942
258975810,2.1115,3759.7656,7938.6943
258975850,2.1643,3740.2344,8094.8911
258975889,2.2435,3769.5313,8456.7715
258975929,2.1907,3750.0000,8215.0020
258975969,2.1907,3779.2969,8279.1816
258976008,2.0587,3750.0000,7720.1226
258976048,2.1643,3833.0078,8295.6777
258976087,2.1379,3769.5313,8058.8057
258976126,2.1379,3750.0000,8017.0503
258976166,2.2435,3754.8828,8423.9082
258976205,2.2171,3725.5859,8259.8506
258976245,2.1907,3764.6484,8247.0918
258976284,2.1907,3740.2344,8193.6084
258976324,2.1907,3754.8828,8225.6982
258976364,2.0851,3745.1172,7808.9175
258976403,2.0851,3745.1172,7808.9175
258976443,2.0587,3750.0000,7720.1226
258976482,2.1907,3740.2344,8193.6084
258976522,2.1643,3754.8828,8126.5942
258976562,2.2698,3735.3516,8478.6797
258976601,2.2962,3769.5313,8655.7539
258976641,2.2435,3735.3516,8380.0908
258976679,2.2435,3759.7656,8434.8633
258976719,2.2962,3735.3516,8577.2695
258976759,2.1115,3769.5313,7959.3140
258976798,2.0587,3759.7656,7740.2271
258976838,2.1115,3754.8828,7928.3843
258976877,1.9795,3779.2969,7481.1880
258976917,2.1379,3745.1172,8006.6113
258976957,2.2171,3754.8828,8324.8037
258976996,2.0851,3745.1172,7808.9175
258977036,2.1907,3774.4141,8268.4854
258977075,2.2435,3740.2344,8391.0459
258977115,2.2435,3759.7656,8434.8633
258977154,2.2435,3750.0000,8412.9541
258977193,2.2698,3740.2344,8489.7627
258977233,2.2435,3759.7656,8434.8633
258977272,2.1115,3745.1172,7907.7642
258977312,2.1643,3745.1172,8105.4590
258977351,2.2171,3740.2344,8292.3271
258977391,2.2698,3754.8828,8523.0127
258977431,2.2698,3730.4688,8467.5967
258977470,2.2435,3750.0000,8412.9541
258977510,2.1379,3759.7656,8037.9282
258977549,2.1643,3754.8828,8126.5942
258977589,2.0587,3784.1797,7790.4883
258977629,2.1115,3750.0000,7918.0742
258977668,2.1379,3769.5313,8058.8057
258977708,2.1643,3750.0000,8116.0264
258977746,2.2698,3735.3516,8478.6797
258977786,2.2698,3740.2344,8489.7627
258977826,2.2435,3740.2344,8391.0459
258977865,2.1379,3764.6484,8048.3667
258977905,2.1379,3759.7656,8037.9282
258977944,2.1907,3754.8828,8225.6982
258977984,2.1379,3730.4688,7975.2949
258978024,2.1907,3784.1797,8289.8779
258978063,2.2962,3745.1172,8599.6934
258978103,2.1643,3754.8828,8126.5942
258978142,2.2171,3740.2344,8292.3271
258978182,2.3226,3735.3516,8675.8594
258978222,2.2698,3754.8828,8523.0127
258978260,2.2171,3725.5859,8259.8506
258978300,2.1907,3745.1172,8204.3057
258978339,2.2171,3710.9375,8227.3740
258978379,2.1379,3779.2969,8079.6836
258978418,2.1115,3735.3516,7887.1440
258978458,2.1379,3764.6484,8048.3667
258978498,2.1115,3769.5313,7959.3140
258978537,2.0851,3764.6484,7849.6421
258978577,2.0587,3769.5313,7760.3315
258978616,2.1907,3740.2344,8193.6084
258978656,2.2435,3769.5313,8456.7715
258978696,2.2962,3740.2344,8588.4814
258978735,2.2435,3759.7656,8434.8633
258978775,2.1907,3720.7031,8150.8223
258978813,2.2435,3745.1172,8402.0000
258978853,2.2435,3681.6406,8259.5928
258978893,2.2435,3750.0000,8412.9541
258978932,2.1379,3769.5313,8058.8057
258978972,2.1115,3740.2344,7897.4541
258979011,2.1643,3750.0000,8116.0264
258979051,2.0851,3735.3516,7788.5557
258979091,2.1115,3759.7656,7938.6943
258979130,2.0323,3759.7656,7640.9932
258979170,2.0323,3764.6484,7650.9165
258979209,2.1115,3774.4141,7969.6240
258979249,2.1115,3740.2344,7897.4541
258979289,2.2698,3764.6484,8545.1797
258979328,2.2698,3725.5859,8456.5137
258979367,2.2435,3759.7656,8434.8633
258979406,2.2171,3745.1172,8303.1523
258979446,2.2435,3750.0000,8412.9541
258979486,2.1643,3754.8828,8126.5942
258979525,2.1907,3764.6484,8247.0918
258979565,2.1643,3764.6484,8147.7300
258979604,2.1907,3867.1875,8471.7207
258979644,2.1643,3764.6484,8147.7300
258979683,2.1643,3754.8828,8126.5942
258979723,2.1379,3759.7656,8037.9282
258979763,2.2435,3750.0000,8412.9541
258979802,2.2962,3750.0000,8610.9053
258979842,2.2962,3750.0000,8610.9053
258979880,2.2435,3750.0000,8412.9541
258979920,2.1907,3750.0000,8215.0020
258979960,2.1907,3735.3516,8182.9121
258979999,2.0851,3769.5313,7859.8232
258980039,2.1643,3759.7656,8137.1621
258980078,2.0323,3779.2969,7680.6865
258980118,2.0587,3759.7656,7740.2271
258980158,2.0587,3779.2969,7780.4360
258980197,2.0851,3759.7656,7839.4609
258980237,2.1643,3740.2344,8094.8911
258980276,2.1379,3750.0000,8017.0503
258980316,2.2698,3745.1172,8500.8467
258980356,2.2962,3745.1172,8599.6934
258980395,2.1907,3735.3516,8182.9121
258980434,2.1379,3759.7656,8037.9282
258980473,2.1643,3745.1172,8105.4590
258980513,2.1643,3769.5313,8158.2974
258980553,2.1379,3750.0000,8017.0503
258980592,2.1115,3759.7656,7938.6943
258980632,2.0851,3769.5313,7859.8232
258980671,2.1379,3735.3516,7985.7339
258980711,2.0587,3784.1797,7790.4883
258980751,2.0851,3769.5313,7859.8232
258980790,2.1115,3769.5313,7959.3140
258980830,2.2171,3735.3516,8281.5020
258980869,2.1907,3798.8281,8321.9678
258980909,2.2171,3745.1172,8303.1523
258980947,2.1643,3730.4688,8073.7554
258980987,2.1907,3730.4688,8172.2153
258981027,2.2435,3730.4688,8369.1367
258981066,2.1115,3784.1797,7990.2441
258981106,2.0059,3754.8828,7531.9648
258981145,2.0851,3789.0625,7900.5479
258981185,2.0851,3759.7656,7839.4609
258981225,2.1643,3779.2969,8179.4331
258981264,2.1643,3759.7656,8137.1621
258981304,2.2171,3710.9375,8227.3740
258981343,2.2435,3759.7656,8434.8633
258981383,2.3226,3637.6953,8449.0391
258981423,2.1643,3779.2969,8179.4331
258981462,2.2698,3725.5859,8456.5137
258981501,2.1643,3769.5313,8158.2974
258981540,2.0851,3764.6484,7849.6421
258981580,2.1643,3745.1172,8105.4590
258981620,2.0587,3764.6484,7750.2793
258981659,2.1115,3750.0000,7918.0742
258981699,2.1907,3774.4141,8268.4854
258981738,2.1379,3740.2344,7996.1724
258981778,2.1379,3774.4141,8069.2446
258981818,2.2435,3750.0000,8412.9541
258981857,2.1643,3754.8828,8126.5942
258981897,2.2435,3745.1172,8402.0000
258981936,2.2435,3750.0000,8412.9541
258981976,2.2435,3759.7656,8434.8633
258982016,2.1115,3769.5313,7959.3140
258982054,2.0587,3784.1797,7790.4883
258982094,2.0587,3750.0000,7720.1226
258982133,2.1907,3793.9453,8311.2715
258982173,2.1115,3750.0000,7918.0742
258982212,2.1907,3750.0000,8215.0020
258982252,2.2962,3750.0000,8610.9053
258982292,2.2698,3735.3516,8478.6797
258982331,2.2435,3745.1172,8402.0000
258982371,2.2435,3740.2344,8391.0459
258982410,2.2962,3759.7656,8633.3301
258982450,2.3226,3725.5859,8653.1768
258982490,2.2171,3774.4141,8368.1055
258982529,2.1115,3750.0000,7918.0742
258982568,2.1643,3784.1797,8190.0005
258982607,2.1643,3759.7656,8137.1621
258982647,2.1643,3706.0547,8020.9170
258982687,2.1643,3764.6484,8147.7300
258982726,2.1907,3735.3516,8182.9121
258982766,2.1379,3764.6484,8048.3667
258982805,2.2171,3745.1172,8303.1523
258982845,2.2698,3774.4141,8567.3457
258982885,2.2435,3730.4688,8369.1367
258982924,2.1907,3759.7656,8236.3955
258982964,2.1379,3764.6484,8048.3667
258983003,2.1907,3769.5313,8257.7881
258983043,1.9267,3789.0625,7300.5059
