266100??	r?37,4067.3828,966.1752
266127145,2.3226,3779.2969,8777.9277
266127185,2.3226,3750.0000,8709.8818
266127224,2.2171,3764.6484,8346.4541
266127264,2.2435,3774.4141,8467.7256
266127304,2.1907,3769.5313,8257.7881
266127343,2.1379,3798.8281,8121.4390
266127383,2.0851,3759.7656,7839.4609
266127422,2.1379,3759.7656,8037.9282
266127462,2.1115,3784.1797,7990.2441
266127502,2.1379,3774.4141,8069.2446
266127541,2.2171,3789.0625,8400.5820
266127581,2.1115,3764.6484,7949.0039
266127620,2.1379,3808.5938,8142.3169
266127660,2.2962,3759.7656,8633.3301
266127699,2.2435,3774.4141,8467.7256
266127738,2.2435,3769.5313,8456.7715
266127778,2.1907,3740.2344,8193.6084
266127817,2.1379,3798.8281,8121.4390
266127857,2.2171,3759.7656,8335.6289
266127897,2.0323,3769.5313,7660.8398
266127936,2.0851,3789.0625,7900.5479
266127976,2.1379,3779.2969,8079.6836
266128015,2.2171,3793.9453,8411.4072
266128055,2.1115,3740.2344,7897.4541
266128094,2.2698,3774.4141,8567.3457
266128134,2.4546,3745.1172,9192.7754
266128174,2.3754,3759.7656,8931.0313
266128212,2.2962,3730.4688,8566.0576
266128252,2.3754,3735.3516,8873.0371
266128291,2.3754,3764.6484,8942.6299
266128331,2.2171,3754.8828,8324.8037
266128371,2.1379,3789.0625,8100.5610
266128410,2.0851,3774.4141,7870.0044
266128450,1.9531,3813.4766,7448.1963
266128489,1.9003,3789.0625,7200.4985
266128529,1.9267,3798.8281,7319.3218
266128569,1.9795,3813.4766,7548.8477
266128608,1.9531,3784.1797,7390.9761
266128648,2.0059,3803.7109,7629.9097
266128687,2.1115,3808.5938,8041.7939
266128727,2.1379,3745.1172,8006.6113
266128766,2.2962,3754.8828,8622.1182
266128805,2.3754,3730.4688,8861.4385
266128845,2.4546,3750.0000,9204.7607
266128884,2.5074,3735.3516,9365.9844
266128924,2.4018,3779.2969,9077.1748
266128964,2.2962,3759.7656,8633.3301
266129003,2.1115,3774.4141,7969.6240
266129043,2.1643,3784.1797,8190.0005
266129082,2.1115,3774.4141,7969.6240
266129122,2.1115,3818.3594,8062.4141
266129162,2.0587,3798.8281,7820.6450
266129201,2.1379,3803.7109,8131.8779
266129241,2.0323,3784.1797,7690.6099
266129280,2.1643,3764.6484,8147.7300
266129319,2.1115,3789.0625,8000.5542
266129358,2.1115,3764.6484,7949.0039
266129398,2.2962,3779.2969,8678.1787
266129438,2.2435,3740.2344,8391.0459
266129477,2.2698,3759.7656,8534.0957
266129517,2.2962,3740.2344,8588.4814
266129556,2.2435,3789.0625,8500.5889
266129596,2.1907,3784.1797,8289.8779
266129636,2.1907,3754.8828,8225.6982
266129675,2.1115,3774.4141,7969.6240
266129715,2.0851,3764.6484,7849.6421
266129754,2.2962,3784.1797,8689.3906
266129794,2.1115,3779.2969,7979.9341
266129833,2.0323,3769.5313,7660.8398
266129872,2.1115,3808.5938,8041.7939
266129912,2.1907,3750.0000,8215.0020
266129951,2.2171,3754.8828,8324.8037
266129991,2.0587,3789.0625,7800.5405
266130031,2.1643,3759.7656,8137.1621
266130070,2.2171,3764.6484,8346.4541
266130110,2.1907,3764.6484,8247.0918
266130149,2.1643,3793.9453,8211.1357
266130189,2.1907,3769.5313,8257.7881
266130229,2.2435,3759.7656,8434.8633
266130268,2.3226,3769.5313,8755.2461
266130308,2.2435,3740.2344,8391.0459
266130347,2.2962,3784.1797,8689.3906
266130386,2.1379,3745.1172,8006.6113
266130426,2.0587,3745.1172,7710.0703
266130465,2.0323,3798.8281,7720.3799
266130505,2.1379,3779.2969,8079.6836
266130544,2.0059,3803.7109,7629.9097
266130584,2.0323,3784.1797,7690.6099
266130623,2.2435,3784.1797,8489.6348
266130663,2.1643,3779.2969,8179.4331
266130703,2.3754,3754.8828,8919.4326
266130742,2.2435,3759.7656,8434.8633
266130782,2.3226,3745.1172,8698.5410
266130821,2.2698,3769.5313,8556.2627
266130861,2.2435,3735.3516,8380.0908
266130900,2.3490,3759.7656,8831.7979
266130939,2.1907,3764.6484,8247.0918
266130979,2.2171,3759.7656,8335.6289
266131018,2.1379,3798.8281,8121.4390
266131058,2.0851,3759.7656,7839.4609
266131098,2.0323,3798.8281,7720.3799
266131137,2.0851,3769.5313,7859.8232
266131177,2.1907,3774.4141,8268.4854
266131216,2.0851,3774.4141,7870.0044
266131256,2.1379,3764.6484,8048.3667
266131296,2.3226,3798.8281,8823.2920
266131335,2.0851,3774.4141,7870.0044
266131375,2.1379,3784.1797,8090.1226
266131414,2.1643,3793.9453,8211.1357
266131453,2.1907,3759.7656,8236.3955
266131493,2.2171,3798.8281,8422.2334
266131532,2.1115,3754.8828,7928.3843
266131572,2.1907,3779.2969,8279.1816
266131611,2.1115,3750.0000,7918.0742
266131651,2.1907,3769.5313,8257.7881
266131691,2.1907,3774.4141,8268.4854
266131730,2.2171,3750.0000,8313.9775
266131770,2.2962,3779.2969,8678.1787
266131809,2.1115,3745.1172,7907.7642
266131849,2.1907,3798.8281,8321.9678
266131888,2.1643,3769.5313,8158.2974
266131928,2.1907,3745.1172,8204.3057
266131968,2.2962,3779.2969,8678.1787
266132006,2.2698,3750.0000,8511.9297
266132046,2.2962,3769.5313,8655.7539
266132085,2.2962,3754.8828,8622.1182
266132125,2.1907,3793.9453,8311.2715
266132165,2.0587,3808.5938,7840.7495
266132204,2.0323,3769.5313,7660.8398
266132244,2.0059,3818.3594,7659.2930
266132283,2.0851,3789.0625,7900.5479
266132323,2.0059,3784.1797,7590.7319
266132363,2.0851,3759.7656,7839.4609
266132402,2.1643,3759.7656,8137.1621
266132442,2.2962,3784.1797,8689.3906
266132481,2.3754,3769.5313,8954.2285
266132520,2.3226,3754.8828,8721.2227
266132560,2.2962,3759.7656,8633.3301
266132599,2.4546,3735.3516,9168.8047
266132639,2.2435,3793.9453,8511.5439
266132678,2.2435,3735.3516,8380.0908
266132718,2.2962,3793.9453,8711.8145
266132758,2.0587,3759.7656,7740.2271
266132797,2.0851,3789.0625,7900.5479
266132837,1.9795,3808.5938,7539.1821
266132876,2.0059,3735.3516,7492.7866
266132916,2.0587,3818.3594,7860.8540
266132956,2.0059,3818.3594,7659.2930
266132995,2.0587,3798.8281,7820.6450
266133035,2.0851,3779.2969,7880.1855
266133073,2.2435,3754.8828,8423.9082
266133113,2.2962,3764.6484,8644.5420
266133152,2.1907,3740.2344,8193.6084
266133192,2.2962,3745.1172,8599.6934
266133232,2.3490,3750.0000,8808.8584
266133271,2.2962,3735.3516,8577.2695
266133311,2.2171,3764.6484,8346.4541
266133350,2.2962,3740.2344,8588.4814
266133390,2.1907,3676.7578,8054.5527
266133430,2.2698,3764.6484,8545.1797
266133469,2.0323,3813.4766,7750.1504
266133509,2.0059,3803.7109,7629.9097
266133548,1.9795,3793.9453,7510.1851
266133587,2.0323,3808.5938,7740.2271
266133627,2.0323,3769.5313,7660.8398
266133666,2.1379,3789.0625,8100.5610
266133706,2.1907,3691.4063,8086.6426
266133745,2.3490,3745.1172,8797.3887
266133785,2.3490,3759.7656,8831.7979
266133825,2.3754,3745.1172,8896.2344
266133864,2.2171,3769.5313,8357.2803
266133904,2.2435,3701.1719,8303.4102
266133943,2.2698,3774.4141,8567.3457
266133983,2.2435,3750.0000,8412.9541
266134023,2.2698,3740.2344,8489.7627
266134062,2.1379,3769.5313,8058.8057
266134102,2.1907,3759.7656,8236.3955
266134140,2.0587,3793.9453,7810.5928
266134180,2.1115,3750.0000,7918.0742
266134220,2.1115,3764.6484,7949.0039
266134259,2.1379,3774.4141,8069.2446
266134299,2.2698,3750.0000,8511.9297
266134338,2.1379,3798.8281,8121.4390
266134378,2.0587,3759.7656,7740.2271
266134417,1.9795,3793.9453,7510.1851
266134457,2.1115,3793.9453,8010.8643
266134497,2.0851,3774.4141,7870.0044
266134536,2.1115,3784.1797,7990.2441
266134576,2.1379,3769.5313,8058.8057
266134615,2.0851,3789.0625,7900.5479
266134654,2.1643,3769.5313,8158.2974
266134694,2.2171,3745.1172,8303.1523
266134733,2.4810,3764.6484,9340.0801
266134773,2.4018,3720.7031,8936.4443
266134812,2.3490,3754.8828,8820.3281
266134852,2.4282,3730.4688,9058.3594
266134892,2.3490,3764.6484,8843.2676
266134931,2.1907,3769.5313,8257.7881
266134971,2.1643,3793.9453,8211.1357
266135010,2.0323,3798.8281,7720.3799
266135050,2.0059,3779.2969,7580.9370
266135090,1.9795,3798.8281,7519.8506
266135129,2.1115,3774.4141,7969.6240
266135169,2.0851,3803.7109,7931.0913
266135207,2.1379,3793.9453,8111.0000
266135247,2.1379,3759.7656,8037.9282
266135287,2.1379,3793.9453,8111.0000
266135326,2.3226,3750.0000,8709.8818
266135366,2.3490,3769.5313,8854.7373
266135405,2.5338,3745.1172,9489.3164
266135445,2.3754,3745.1172,8896.2344
266135485,2.1907,3808.5938,8343.3613
266135524,2.1643,3750.0000,8116.0264
266135564,2.1379,3803.7109,8131.8779
266135603,2.2171,3754.8828,8324.8037
266135643,2.1643,3784.1797,8190.0005
266135682,2.1115,3779.2969,7979.9341
266135721,2.1379,3759.7656,8037.9282
266135761,2.1643,3784.1797,8190.0005
266135800,2.2698,3745.1172,8500.8467
266135840,2.2171,3779.2969,8378.9307
266135879,2.2171,3759.7656,8335.6289
266135919,2.1907,3759.7656,8236.3955
266135959,2.1643,3784.1797,8190.0005
266135998,2.0323,3769.5313,7660.8398
266136038,2.0323,3798.8281,7720.3799
266136077,2.0587,3769.5313,7760.3315
266136117,2.0059,3793.9453,7610.3208
266136157,2.0587,3784.1797,7790.4883
266136196,2.1115,3720.7031,7856.2144
266136236,2.2962,3784.1797,8689.3906
266136274,2.2171,3769.5313,8357.2803
266136314,2.3490,3769.5313,8854.7373
266136354,2.2698,3740.2344,8489.7627
266136393,2.2435,3750.0000,8412.9541
266136433,2.2171,3769.5313,8357.2803
266136472,2.2171,3735.3516,8281.5020
266136512,2.2435,3750.0000,8412.9541
266136552,2.1907,3754.8828,8225.6982
266136591,2.2171,3764.6484,8346.4541
266136631,2.1115,3779.2969,7979.9341
266136670,2.0851,3774.4141,7870.0044
266136710,2.0851,3779.2969,7880.1855
266136750,2.0587,3803.7109,7830.6973
266136788,2.0323,3789.0625,7700.5332
266136828,2.1379,3784.1797,8090.1226
266136867,2.0323,3769.5313,7660.8398
266136907,2.0587,3798.8281,7820.6450
266136946,2.1907,3754.8828,8225.6982
266136986,2.2171,3779.2969,8378.9307
266137026,2.2698,3745.1172,8500.8467
266137065,2.4546,3740.2344,9180.7900
266137105,2.2962,3764.6484,8644.5420
266137144,2.2698,3735.3516,8478.6797
266137184,2.1379,3779.2969,8079.6836
266137224,2.1907,3759.7656,8236.3955
266137263,2.1907,3784.1797,8289.8779
266137303,2.1115,3784.1797,7990.2441
266137341,2.0587,3779.2969,7780.4360
266137381,2.1643,3808.5938,8242.8398
266137421,2.0587,3764.6484,7750.2793
266137460,2.1115,3808.5938,8041.7939
266137500,2.0851,3793.9453,7910.7290
266137539,2.2171,3769.5313,8357.2803
266137579,2.2171,3784.1797,8389.7568
266137619,2.2962,3759.7656,8633.3301
266137658,2.1643,3774.4141,8168.8652
266137698,2.1643,3769.5313,8158.2974
266137737,2.1907,3735.3516,8182.9121
266137777,2.2962,3764.6484,8644.5420
266137817,2.3226,3730.4688,8664.5176
266137856,2.2962,3779.2969,8678.1787
266137895,2.3226,3745.1172,8698.5410
266137934,2.3490,3779.2969,8877.6777
266137974,2.1379,3759.7656,8037.9282
266138014,2.1115,3779.2969,7979.9341
266138053,2.1115,3842.7734,8113.9639
266138093,2.1907,3764.6484,8247.0918
266138132,2.1115,3798.8281,8021.1738
266138172,1.9795,3784.1797,7490.8540
266138211,1.8739,3803.7109,7127.9424
266138251,2.0059,3808.5938,7639.7041
266138291,2.1379,3750.0000,8017.0503
266138330,2.1115,3789.0625,8000.5542
266138370,2.1907,3764.6484,8247.0918
266138408,2.2435,3750.0000,8412.9541
266138448,2.3226,3745.1172,8698.5410
266138488,2.4018,3730.4688,8959.8994
266138527,2.2962,3759.7656,8633.3301
266138567,2.3490,3666.9922,8613.8701
266138606,2.2171,3764.6484,8346.4541
266138646,2.2435,3750.0000,8412.9541
266138686,2.1379,3769.5313,8058.8057
266138725,2.1643,3789.0625,8200.5684
266138765,2.0851,3759.7656,7839.4609
266138804,1.9531,3750.0000,7324.2188
266138844,2.1115,3764.6484,7949.0039
266138884,2.0323,3793.9453,7710.4565
266138923,2.0587,3789.0625,7800.5405
266138962,2.2171,3759.7656,8335.6289
266139001,2.1379,3759.7656,8037.9282
266139041,2.2435,3750.0000,8412.9541
266139081,2.1907,3784.1797,8289.8779
266139120,2.0851,3784.1797,7890.3667
266139160,2.0587,3784.1797,7790.4883
266139199,2.0059,3808.5938,7639.7041
266139239,2.0587,3759.7656,7740.2271
266139279,1.9795,3759.7656,7442.5259
266139318,2.1115,3779.2969,7979.9341
266139358,2.2435,3769.5313,8456.7715
266139397,2.3754,3764.6484,8942.6299
266139437,2.2435,3740.2344,8391.0459
266139475,2.3490,3779.2969,8877.6777
266139515,2.3754,3745.1172,8896.2344
266139555,2.3226,3774.4141,8766.5869
266139594,2.1643,3759.7656,8137.1621
266139634,2.1643,3745.1172,8105.4590
266139673,2.2435,3779.2969,8478.6807
266139713,2.2435,3745.1172,8402.0000
266139753,2.1379,3789.0625,8100.5610
266139792,2.1907,3759.7656,8236.3955
266139832,2.1643,3774.4141,8168.8652
266139871,2.1115,3789.0625,8000.5542
266139911,2.1643,3764.6484,8147.7300
266139951,2.1907,3793.9453,8311.2715
266139990,2.2962,3759.7656,8633.3301
266140029,2.1379,3779.2969,8079.6836
266140068,2.1115,3774.4141,7969.6240
266140108,2.1115,3764.6484,7949.0039
266140148,2.0059,3803.7109,7629.9097
266140187,2.2171,3759.7656,8335.6289
266140227,2.1643,3793.9453,8211.1357
266140266,2.2698,3774.4141,8567.3457
266140306,2.2962,3750.0000,8610.9053
266140346,2.2171,3754.8828,8324.8037
266140385,2.2962,3750.0000,8610.9053
266140425,2.2171,3774.4141,8368.1055
266140464,2.1907,3764.6484,8247.0918
266140504,2.1907,3769.5313,8257.7881
266140544,2.0851,3774.4141,7870.0044
266140582,2.1643,3759.7656,8137.1621
266140622,2.1115,3798.8281,8021.1738
266140661,2.2171,3754.8828,8324.8037
266140701,2.1907,3769.5313,8257.7881
266140740,2.2171,3764.6484,8346.4541
266140780,2.2962,3750.0000,8610.9053
266140820,2.2698,3769.5313,8556.2627
266140859,2.3226,3754.8828,8721.2227
266140899,2.3226,3779.2969,8777.9277
266140938,2.1643,3774.4141,8168.8652
266140978,2.1115,3774.4141,7969.6240
266141018,2.0851,3798.8281,7920.9102
266141057,2.0851,3759.7656,7839.4609
266141096,2.0851,3793.9453,7910.7290
266141135,2.1115,3754.8828,7928.3843
266141175,2.2171,3784.1797,8389.7568
266141215,2.1379,3793.9453,8111.0000
266141254,2.2171,3759.7656,8335.6289
266141294,2.2962,3774.4141,8666.9658
266141333,2.1907,3754.8828,8225.6982
266141373,2.0851,3759.7656,7839.4609
266141413,2.0587,3784.1797,7790.4883
266141452,2.0851,3769.5313,7859.8232
266141492,2.0851,3793.9453,7910.7290
266141531,2.0851,3759.7656,7839.4609
266141571,2.1907,3793.9453,8311.2715
266141611,2.1643,3769.5313,8158.2974
266141649,2.3490,3750.0000,8808.8584
266141689,2.4546,3730.4688,9156.8193
266141728,2.5074,3720.7031,9329.2549
266141768,2.4810,3750.0000,9303.7373
266141808,2.3226,3745.1172,8698.5410
266141847,2.1379,3886.7188,8309.3389
266141887,2.1115,3769.5313,7959.3140
266141926,2.0323,3798.8281,7720.3799
266141966,1.9795,3803.7109,7529.5161
266142005,1.9795,3769.5313,7461.8569
266142045,1.9795,3813.4766,7548.8477
266142085,2.1643,3764.6484,8147.7300
266142124,2.1907,3774.4141,8268.4854
266142163,2.1643,3764.6484,8147.7300
266142202,2.2698,3740.2344,8489.7627
266142242,2.3490,3769.5313,8854.7373
266142282,2.4018,3715.8203,8924.7158
266142321,2.4018,3754.8828,9018.5371
266142361,2.3226,3735.3516,8675.8594
266142400,2.2435,3769.5313,8456.7715
266142440,2.2171,3779.2969,8378.9307
266142480,2.0851,3769.5313,7859.8232
266142519,2.0851,3808.5938,7941.2725
266142559,2.0059,3784.1797,7590.7319
266142598,2.0059,3774.4141,7571.1426
266142638,1.9267,3774.4141,7272.2822
266142678,2.0323,3784.1797,7690.6099
266142716,2.0587,3793.9453,7810.5928
266142756,2.1115,3750.0000,7918.0742
266142795,2.1907,3789.0625,8300.5752
266142835,2.2171,3740.2344,8292.3271
266142875,2.4018,3774.4141,9065.4473
266142914,2.3226,3784.1797,8789.2686
266142954,2.4018,3725.5859,8948.1719
266142993,2.4282,3764.6484,9141.3555
266143033,2.3226,3730.4688,8664.5176
266143073,2.3226,3735.3516,8675.8594
266143112,2.2171,3750.0000,8313.9775
266143152,2.0851,3784.1797,7890.3667
266143191,2.1379,3774.4141,8069.2446
266143230,2.0323,3764.6484,7650.9165
266143269,2.0587,3803.7109,7830.6973
266143309,2.1115,3779.2969,7979.9341
266143349,2.0323,3803.7109,7730.3037
266143388,2.1643,3789.0625,8200.5684
266143428,2.0587,3764.6484,7750.2793
266143467,2.0851,3769.5313,7859.8232
266143507,2.2435,3735.3516,8380.0908
266143547,2.2962,3774.4141,8666.9658
266143586,2.3490,3759.7656,8831.7979
266143626,2.2171,3764.6484,8346.4541
266143665,2.1907,3779.2969,8279.1816
266143705,2.2962,3745.1172,8599.6934
266143745,2.1643,3784.1797,8190.0005
266143783,2.1379,3764.6484,8048.3667
266143823,2.1907,3784.1797,8289.8779
266143862,2.1379,3779.2969,8079.6836
266143902,2.0587,3779.2969,7780.4360
266143942,2.1379,3784.1797,8090.1226
266143981,2.1643,3769.5313,8158.2974
266144021,2.1907,3779.2969,8279.1816
266144060,2.0851,3789.0625,7900.5479
266144100,2.1907,3750.0000,8215.0020
266144140,2.2171,3813.4766,8454.7090
266144179,2.1907,3740.2344,8193.6084
266144219,2.1643,3793.9453,8211.1357
266144258,2.1379,3774.4141,8069.2446
266144297,2.0851,3779.2969,7880.1855
266144337,2.0851,3769.5313,7859.8232
266144376,2.0587,3759.7656,7740.2271
266144416,2.1643,3779.2969,8179.4331
266144455,2.0323,3784.1797,7690.6099
266144495,2.0851,3784.1797,7890.3667
266144534,2.1115,3798.8281,8021.1738
266144574,2.1379,3754.8828,8027.4893
266144614,2.2962,3759.7656,8633.3301
266144653,2.4018,3774.4141,9065.4473
266144693,2.5602,3740.2344,9575.6631
266144732,2.4546,3715.8203,9120.8633
266144772,2.3754,3754.8828,8919.4326
266144812,2.3490,3754.8828,8820.3281
266144850,2.1379,3759.7656,8037.9282
266144890,2.1115,3793.9453,8010.8643
266144929,2.0851,3740.2344,7798.7368
266144969,1.9531,3769.5313,7362.3657
266145009,1.9795,3789.0625,7500.5195
266145048,2.0059,3798.8281,7620.1152
266145088,2.1379,3803.7109,8131.8779
266145127,2.0587,3784.1797,7790.4883
266145167,2.0851,3818.3594,7961.6343
266145207,2.1379,3764.6484,8048.3667
266145246,2.2698,3769.5313,8556.2627
266145286,2.2435,3769.5313,8456.7715
266145325,2.4018,3730.4688,8959.8994
266145364,2.2962,3740.2344,8588.4814
266145404,2.2698,3735.3516,8478.6797
266145443,2.3754,3764.6484,8942.6299
266145483,2.3226,3774.4141,8766.5869
266145522,2.2171,3754.8828,8324.8037
266145562,2.0851,3784.1797,7890.3667
266145602,2.1115,3784.1797,7990.2441
266145641,2.1115,3808.5938,8041.7939
266145681,2.0059,3798.8281,7620.1152
266145720,1.9795,3803.7109,7529.5161
266145760,2.0323,3784.1797,7690.6099
266145799,2.1115,3745.1172,7907.7642
266145839,2.2698,3769.5313,8556.2627
266145879,2.2171,3750.0000,8313.9775
266145917,2.2435,3789.0625,8500.5889
266145957,2.0323,3769.5313,7660.8398
266145996,2.1643,3818.3594,8263.9746
266146036,2.1907,3793.9453,8311.2715
266146076,2.1907,3745.1172,8204.3057
266146115,2.3490,3754.8828,8820.3281
266146155,2.4018,3730.4688,8959.8994
266146194,2.2698,3754.8828,8523.0127
266146234,2.1907,3774.4141,8268.4854
266146274,2.1115,3750.0000,7918.0742
266146313,2.1379,3798.8281,8121.4390
266146353,2.0059,3754.8828,7531.9648
266146392,2.0851,3764.6484,7849.6421
266146432,2.1907,3793.9453,8311.2715
266146471,2.0851,3769.5313,7859.8232
266146510,2.1907,3793.9453,8311.2715
266146550,2.2698,3754.8828,8523.0127
266146589,2.1379,3789.0625,8100.5610
266146629,2.2698,3774.4141,8567.3457
266146669,2.1907,3764.6484,8247.0918
266146708,2.1115,3784.1797,7990.2441
266146748,2.0323,3769.5313,7660.8398
266146787,2.1115,3808.5938,8041.7939
266146827,2.1115,3769.5313,7959.3140
266146867,2.1907,3769.5313,8257.7881
266146906,2.1115,3774.4141,7969.6240
266146946,2.1907,3720.7031,8150.8223
266146984,2.2698,3784.1797,8589.5117
266147024,2.2698,3735.3516,8478.6797
266147063,2.3226,3764.6484,8743.9053
266147103,2.3226,3745.1172,8698.5410
266147143,2.4018,3735.3516,8971.6270
266147182,2.2435,3769.5313,8456.7715
266147222,2.1907,3745.1172,8204.3057
266147261,2.2435,3784.1797,8489.6348
266147301,1.9795,3769.5313,7461.8569
266147341,2.0851,3798.8281,7920.9102
266147380,2.1379,3808.5938,8142.3169
266147420,1.9531,3784.1797,7390.9761
266147459,2.0851,3803.7109,7931.0913
266147499,2.1115,3764.6484,7949.0039
266147538,2.0323,3789.0625,7700.5332
266147577,2.1643,3784.1797,8190.0005
266147617,2.1379,3759.7656,8037.9282
266147656,2.2698,3750.0000,8511.9297
266147696,2.2435,3735.3516,8380.0908
266147736,2.2698,3769.5313,8556.2627
266147775,2.4018,3764.6484,9041.9922
266147815,2.2698,3759.7656,8534.0957
266147854,2.3226,3764.6484,8743.9053
266147894,2.2171,3745.1172,8303.1523
266147934,2.1907,3774.4141,8268.4854
266147973,2.2171,3784.1797,8389.7568
266148013,2.1115,3769.5313,7959.3140
266148051,2.2171,3764.6484,8346.4541
266148091,2.0851,3769.5313,7859.8232
266148131,2.0851,3789.0625,7900.5479
266148170,2.0587,3769.5313,7760.3315
266148210,2.0851,3803.7109,7931.0913
266148249,2.1115,3764.6484,7949.0039
266148289,2.2698,3764.6484,8545.1797
266148328,2.1379,3779.2969,8079.6836
266148368,2.0851,3759.7656,7839.4609
266148408,2.0851,3793.9453,7910.7290
266148447,2.2962,3754.8828,8622.1182
266148487,2.2962,3745.1172,8599.6934
266148526,2.2698,3754.8828,8523.0127
266148566,2.2962,3735.3516,8577.2695
266148605,2.1907,3769.5313,8257.7881
266148644,2.1907,3750.0000,8215.0020
266148684,2.1643,3789.0625,8200.5684
266148723,2.1643,3759.7656,8137.1621
266148763,2.1115,3754.8828,7928.3843
266148803,2.0059,3828.1250,7678.8823
266148842,2.0587,3764.6484,7750.2793
266148882,2.0059,3798.8281,7620.1152
266148921,2.0851,3793.9453,7910.7290
266148961,2.1115,3769.5313,7959.3140
266149001,2.2435,3774.4141,8467.7256
266149040,2.2435,3740.2344,8391.0459
266149080,2.2962,3769.5313,8655.7539
266149118,2.2962,3740.2344,8588.4814
266149158,2.2435,3769.5313,8456.7715
266149198,2.2962,3774.4141,8666.9658
266149237,2.1115,3779.2969,7979.9341
266149277,1.9795,3798.8281,7519.8506
266149316,2.0059,3730.4688,7482.9922
266149356,1.9795,3818.3594,7558.5132
266149396,2.0059,3808.5938,7639.7041
266149435,2.1115,3779.2969,7979.9341
266149475,2.0851,3789.0625,7900.5479
266149514,2.1379,3759.7656,8037.9282
266149554,2.1379,3779.2969,8079.6836
266149593,2.1379,3750.0000,8017.0503
266149633,2.2435,3769.5313,8456.7715
266149672,2.2171,3769.5313,8357.2803
266149711,2.2962,3750.0000,8610.9053
266149751,2.2171,3798.8281,8422.2334
266149790,2.1643,3720.7031,8052.6201
266149830,2.2435,3857.4219,8653.9502
266149870,2.2435,3759.7656,8434.8633
266149909,2.3490,3750.0000,8808.8584
266149949,2.2698,3769.5313,8556.2627
266149988,2.1115,3745.1172,7907.7642
266150028,2.1643,3793.9453,8211.1357
266150068,2.0851,3750.0000,7819.0986
266150107,2.0587,3789.0625,7800.5405
266150147,2.0059,3803.7109,7629.9097
266150185,2.0851,3793.9453,7910.7290
266150225,2.1115,3784.1797,7990.2441
266150265,2.1907,3750.0000,8215.0020
266150304,2.2435,3740.2344,8391.0459
266150344,2.2171,3715.8203,8238.1992
266150383,2.2435,3740.2344,8391.0459
266150423,2.2435,3774.4141,8467.7256
266150463,2.1907,3745.1172,8204.3057
266150502,2.1115,3784.1797,7990.2441
266150542,2.0323,3769.5313,7660.8398
266150581,2.1643,3789.0625,8200.5684
266150621,2.0851,3793.9453,7910.7290
266150661,2.0323,3793.9453,7710.4565
266150700,2.1115,3798.8281,8021.1738
266150739,2.1115,3754.8828,7928.3843
266150778,2.1907,3759.7656,8236.3955
266150818,2.1907,3769.5313,8257.7881
266150857,2.2698,3730.4688,8467.5967
266150897,2.3226,3769.5313,8755.2461
266150937,2.2698,3745.1172,8500.8467
266150976,2.1907,3759.7656,8236.3955
266151016,2.2698,3759.7656,8534.0957
266151055,2.1379,3769.5313,8058.8057
266151095,2.1115,3784.1797,7990.2441
266151135,2.0059,3754.8828,7531.9648
266151174,2.0851,3798.8281,7920.9102
266151214,2.1643,3789.0625,8200.5684
266151252,2.0323,3774.4141,7670.7632
266151292,2.0851,3789.0625,7900.5479
266151332,2.0587,3759.7656,7740.2271
266151371,2.1115,3793.9453,8010.8643
266151411,2.2435,3750.0000,8412.9541
266151450,2.3226,3750.0000,8709.8818
266151490,2.2962,3759.7656,8633.3301
266151530,2.4018,3730.4688,8959.8994
266151569,2.2698,3759.7656,8534.0957
266151609,2.4018,3740.2344,8983.3545
266151648,2.4018,3740.2344,8983.3545
266151688,2.2171,3754.8828,8324.8037
266151728,2.1643,3793.9453,8211.1357
266151767,2.0059,3793.9453,7610.3208
266151806,2.1115,3784.1797,7990.2441
266151845,1.9795,3813.4766,7548.8477
266151885,2.0587,3764.6484,7750.2793
266151925,2.1907,3671.8750,8043.8560
266151964,2.1115,3769.5313,7959.3140
266152004,2.2698,3745.1172,8500.8467
266152043,2.3226,3764.6484,8743.9053
266152083,2.4018,3730.4688,8959.8994
266152122,2.3226,3793.9453,8811.9512
266152162,2.2698,3745.1172,8500.8467
266152202,2.2698,3774.4141,8567.3457
266152241,2.1379,3759.7656,8037.9282
266152281,2.1115,3735.3516,7887.1440
266152320,2.0059,3779.2969,7580.9370
266152359,2.0587,3769.5313,7760.3315
266152399,2.0059,3818.3594,7659.2930
266152438,2.1907,3779.2969,8279.1816
266152478,2.1643,3774.4141,8168.8652
266152517,2.1379,3793.9453,8111.0000
266152557,2.0587,3759.7656,7740.2271
266152597,2.1379,3793.9453,8111.0000
266152636,2.1379,3696.2891,7902.2227
266152676,2.1115,3784.1797,7990.2441
266152715,2.2171,3784.1797,8389.7568
266152755,2.1379,3745.1172,8006.6113
266152795,2.2435,3754.8828,8423.9082
266152834,2.2698,3730.4688,8467.5967
266152873,2.3490,3745.1172,8797.3887
266152912,2.3490,3725.5859,8751.5088
266152952,2.3226,3754.8828,8721.2227
266152992,2.2962,3764.6484,8644.5420
266153031,2.1379,3754.8828,8027.4893
266153071,2.2171,3784.1797,8389.7568
266153110,2.1379,3691.4063,7891.7837
266153150,2.1379,3793.9453,8111.0000
266153190,2.0851,3784.1797,7890.3667
266153229,2.1379,3779.2969,8079.6836
266153269,2.0851,3759.7656,7839.4609
266153308,2.0851,3759.7656,7839.4609
266153348,2.1115,3803.7109,8031.4839
266153387,2.0323,3769.5313,7660.8398
