02,0.3??b401&?719,1589.0276
289276502,2.5074,3676.7578,9219.0664
289276541,2.3226,3710.9375,8619.1543
289276580,2.3490,3701.1719,8694.1592
289276620,2.4546,3701.1719,9084.9072
289276659,2.4282,3686.5234,8951.6514
289276699,2.4282,3671.8750,8916.0820
289276739,2.3490,3725.5859,8751.5088
289276778,2.3226,3730.4688,8664.5176
289276818,2.3226,3725.5859,8653.1768
289276857,2.4018,3725.5859,8948.1719
289276897,2.4018,3715.8203,8924.7158
289276937,2.2962,3720.7031,8543.6328
289276976,2.2698,3725.5859,8456.5137
289277016,2.3490,3706.0547,8705.6289
289277054,2.5866,3671.8750,9497.5654
289277094,2.4546,3681.6406,9036.9658
289277134,2.4018,3715.8203,8924.7158
289277173,2.4018,3696.2891,8877.8057
289277213,2.6394,3691.4063,9742.9424
289277252,2.3490,3706.0547,8705.6289
289277292,2.2962,3715.8203,8532.4209
289277332,2.2698,3740.2344,8489.7627
289277371,2.2435,3740.2344,8391.0459
289277411,2.2171,3798.8281,8422.2334
289277450,2.1907,3759.7656,8236.3955
289277490,2.1643,3725.5859,8063.1880
289277529,2.2435,3759.7656,8434.8633
289277569,2.3754,3686.5234,8757.0498
289277608,2.3490,3730.4688,8762.9785
289277647,2.4018,3730.4688,8959.8994
289277687,2.3490,3715.8203,8728.5693
289277726,2.5074,3681.6406,9231.3096
289277766,2.6658,3681.6406,9814.3398
289277806,2.4810,3691.4063,9158.3662
289277845,2.4018,3686.5234,8854.3506
289277885,2.4810,3701.1719,9182.5947
289277924,2.4546,3652.3438,8965.0537
289277964,2.4282,3706.0547,8999.0771
289278004,2.3754,3730.4688,8861.4385
289278043,2.3754,3730.4688,8861.4385
289278083,2.3490,3715.8203,8728.5693
289278121,2.3490,3715.8203,8728.5693
289278161,2.2962,3715.8203,8532.4209
289278201,2.3490,3710.9375,8717.0996
289278240,2.3226,3706.0547,8607.8125
289278280,2.3754,3715.8203,8826.6426
289278319,2.4018,3701.1719,8889.5332
289278359,2.2435,3735.3516,8380.0908
289278399,2.2171,3701.1719,8205.7227
289278438,2.2698,3740.2344,8489.7627
289278478,2.4546,3676.7578,9024.9805
289278517,2.5074,3691.4063,9255.7959
289278557,2.5602,3691.4063,9450.6543
289278597,2.5602,3710.9375,9500.6582
289278636,2.6394,3676.7578,9704.2803
289278675,2.7449,3657.2266,10038.8400
289278715,2.5602,3691.4063,9450.6543
289278755,2.3754,3715.8203,8826.6426
289278794,2.3490,3730.4688,8762.9785
289278834,2.4018,3715.8203,8924.7158
289278874,2.2962,3696.2891,8487.5723
289278913,2.2171,3774.4141,8368.1055
289278953,2.1907,3710.9375,8129.4287
289278992,2.3226,3730.4688,8664.5176
289279032,2.3490,3715.8203,8728.5693
289279072,2.2698,3740.2344,8489.7627
289279111,2.2435,3710.9375,8325.3193
289279151,2.5338,3720.7031,9427.4570
289279190,2.5866,3686.5234,9535.4541
289279229,2.3226,3701.1719,8596.4717
289279269,2.3490,3696.2891,8682.6895
289279308,2.4546,3696.2891,9072.9219
289279348,2.5602,3686.5234,9438.1533
289279387,2.5338,3701.1719,9377.9688
289279427,2.4282,3701.1719,8987.2207
289279467,2.4282,3681.6406,8939.7949
289279506,2.4282,3706.0547,8999.0771
289279546,2.4810,3691.4063,9158.3662
289279585,2.3490,3720.7031,8740.0391
289279625,2.4018,3706.0547,8901.2607
289279665,2.3754,3706.0547,8803.4443
289279704,2.5602,3666.9922,9388.1504
289279744,2.4282,3764.6484,9141.3555
289279782,2.2698,3710.9375,8423.2637
289279822,2.3226,3730.4688,8664.5176
289279862,2.3754,3706.0547,8803.4443
289279901,2.3226,3725.5859,8653.1768
289279941,2.2962,3701.1719,8498.7842
289279980,2.4810,3730.4688,9255.2803
289280020,2.3754,3691.4063,8768.6484
289280059,2.4546,3691.4063,9060.9365
289280099,2.3226,3691.4063,8573.7900
289280139,2.5074,3691.4063,9255.7959
289280178,2.4546,3676.7578,9024.9805
289280218,2.5338,3681.6406,9328.4805
289280257,2.4810,3637.6953,9025.1094
289280296,2.4018,3696.2891,8877.8057
289280336,2.3226,3706.0547,8607.8125
289280375,2.4546,3715.8203,9120.8633
289280415,2.3226,3735.3516,8675.8594
289280454,2.1379,3730.4688,7975.2949
289280494,2.2435,3725.5859,8358.1826
289280534,2.4018,3706.0547,8901.2607
289280573,2.4282,3710.9375,9010.9336
289280613,2.2962,3710.9375,8521.2090
289280652,2.3490,3730.4688,8762.9785
289280692,2.4018,3706.0547,8901.2607
289280732,2.4546,3710.9375,9108.8779
289280771,2.4282,3579.1016,8690.8086
289280811,2.5074,3715.8203,9317.0117
289280849,2.4546,3681.6406,9036.9658
289280889,2.5074,3681.6406,9231.3096
289280929,2.4810,3691.4063,9158.3662
289280968,2.3490,3725.5859,8751.5088
289281008,2.3226,3701.1719,8596.4717
289281047,2.4546,3725.5859,9144.8340
289281087,2.2962,3696.2891,8487.5723
289281127,2.3490,3720.7031,8740.0391
289281166,2.3754,3691.4063,8768.6484
289281206,2.5866,3676.7578,9510.1953
289281245,2.4546,3691.4063,9060.9365
289281285,2.3754,3623.0469,8606.2666
289281324,2.1907,3710.9375,8129.4287
289281363,2.3490,3715.8203,8728.5693
289281403,2.4018,3686.5234,8854.3506
289281442,2.3754,3720.7031,8838.2412
289281482,2.2962,3730.4688,8566.0576
289281521,2.2698,3730.4688,8467.5967
289281561,2.3754,3715.8203,8826.6426
289281601,2.3490,3725.5859,8751.5088
289281640,2.2962,3720.7031,8543.6328
289281680,2.4018,3730.4688,8959.8994
289281719,2.4282,3701.1719,8987.2207
289281759,2.5074,3691.4063,9255.7959
289281799,2.5338,3784.1797,9588.2930
289281838,2.5074,3691.4063,9255.7959
289281878,2.5074,3710.9375,9304.7686
289281916,2.5074,3691.4063,9255.7959
289281956,2.5338,3696.2891,9365.5967
289281996,2.3226,3701.1719,8596.4717
289282035,2.3754,3720.7031,8838.2412
289282075,2.2698,3696.2891,8390.0137
289282114,2.4018,3706.0547,8901.2607
289282154,2.2962,3720.7031,8543.6328
289282194,2.3490,3730.4688,8762.9785
289282233,2.3754,3706.0547,8803.4443
289282273,2.3490,3706.0547,8705.6289
289282312,2.3490,3681.6406,8648.2803
289282352,2.3226,3735.3516,8675.8594
289282392,2.2962,3710.9375,8521.2090
289282430,2.3490,3715.8203,8728.5693
289282470,2.2435,3710.9375,8325.3193
289282509,2.2435,3740.2344,8391.0459
289282549,2.3754,3686.5234,8757.0498
289282588,2.5338,3686.5234,9340.8525
289282628,2.5338,3681.6406,9328.4805
289282668,2.3754,3706.0547,8803.4443
289282707,2.4546,3681.6406,9036.9658
289282747,2.4546,3701.1719,9084.9072
289282786,2.4546,3593.7500,8821.2295
289282826,2.4810,3706.0547,9194.7090
289282866,2.4546,3701.1719,9084.9072
289282905,2.5338,3701.1719,9377.9688
289282945,2.4810,3676.7578,9122.0234
289282983,2.4018,3686.5234,8854.3506
289283023,2.2962,3779.2969,8678.1787
289283063,2.4546,3686.5234,9048.9512
289283102,2.5338,3706.0547,9390.3408
289283142,2.5074,3671.8750,9206.8232
289283181,2.3754,3715.8203,8826.6426
289283221,2.5074,3681.6406,9231.3096
289283261,2.4546,3715.8203,9120.8633
289283300,2.4546,3603.5156,8845.2002
289283340,2.4018,3696.2891,8877.8057
289283379,2.2171,3735.3516,8281.5020
289283419,2.0851,3745.1172,7808.9175
289283459,2.0587,3750.0000,7720.1226
289283497,2.1643,3750.0000,8116.0264
289283537,2.0587,3730.4688,7679.9136
289283576,2.2171,3745.1172,8303.1523
289283616,2.3226,3696.2891,8585.1309
289283656,2.5866,3706.0547,9585.9736
289283695,2.4282,3686.5234,8951.6514
289283735,2.6394,3686.5234,9730.0557
289283774,2.6658,3671.8750,9788.3066
289283814,2.5338,3750.0000,9501.6885
289283853,2.4282,3686.5234,8951.6514
289283893,2.3754,3696.2891,8780.2471
289283933,2.4546,3691.4063,9060.9365
289283972,2.5074,3691.4063,9255.7959
289284012,2.4282,3696.2891,8975.3643
289284050,2.1907,3720.7031,8150.8223
289284090,2.3490,3715.8203,8728.5693
289284130,2.3226,3706.0547,8607.8125
289284169,2.4546,3701.1719,9084.9072
289284209,2.2962,3730.4688,8566.0576
289284248,2.3490,3715.8203,8728.5693
289284288,2.3754,3735.3516,8873.0371
289284328,2.2962,3623.0469,8319.3906
289284367,2.3226,3730.4688,8664.5176
289284407,2.3754,3710.9375,8815.0439
289284446,2.3754,3710.9375,8815.0439
289284486,2.5338,3676.7578,9316.1094
289284526,2.6130,3701.1719,9671.0313
289284564,2.3754,3701.1719,8791.8457
289284604,2.4810,3715.8203,9218.9375
289284643,2.5338,3647.4609,9241.8770
289284683,2.3490,3706.0547,8705.6289
289284723,2.1907,3725.5859,8161.5186
289284762,2.1907,3740.2344,8193.6084
289284802,2.3490,3691.4063,8671.2197
289284841,2.5074,3852.5391,9659.8193
289284881,2.3490,3701.1719,8694.1592
289284921,2.1907,3740.2344,8193.6084
289284960,2.1907,3720.7031,8150.8223
289285000,2.3754,3706.0547,8803.4443
289285039,2.4810,3681.6406,9134.1377
289285079,2.2435,3715.8203,8336.2734
289285117,2.4810,3686.5234,9146.2520
289285157,2.4546,3730.4688,9156.8193
289285197,2.5338,3671.8750,9303.7373
289285236,2.4018,3696.2891,8877.8057
289285276,2.6658,3691.4063,9840.3721
289285315,2.5074,3652.3438,9157.8516
289285355,2.6921,3833.0078,10319.0140
289285396,2.5074,3696.2891,9268.0391
289285435,2.3754,3681.6406,8745.4512
289285475,2.4018,3701.1719,8889.5332
289285514,2.4546,3676.7578,9024.9805
289285554,2.1643,3750.0000,8116.0264
289285594,2.0587,3740.2344,7700.0181
289285633,2.0851,3598.6328,7503.4844
289285672,2.1907,3715.8203,8140.1255
289285711,2.3490,3745.1172,8797.3887
289285751,2.1379,3710.9375,7933.5396
289285791,2.2171,3735.3516,8281.5020
289285830,2.4282,3608.3984,8761.9473
289285870,2.5074,3710.9375,9304.7686
289285909,2.4018,3691.4063,8866.0781
289285949,2.5338,3701.1719,9377.9688
289285989,2.6921,3652.3438,9832.6406
289286028,2.6130,3676.7578,9607.2383
289286068,2.6394,3666.9922,9678.5049
289286107,2.5602,3662.1094,9375.6494
289286147,2.4810,3544.9219,8794.9395
289286187,2.5074,3696.2891,9268.0391
289286225,2.6658,3681.6406,9814.3398
289286265,2.4018,3706.0547,8901.2607
289286304,2.2962,3696.2891,8487.5723
289286344,2.5074,3715.8203,9317.0117
289286384,2.4810,3676.7578,9122.0234
289286423,2.4018,3715.8203,8924.7158
289286463,2.1115,3735.3516,7887.1440
289286502,2.1643,3750.0000,8116.0264
289286542,2.1907,3706.0547,8118.7324
289286581,2.3490,3740.2344,8785.9180
289286621,2.3754,3701.1719,8791.8457
289286661,2.3226,3569.3359,8290.2656
289286700,2.3226,3686.5234,8562.4492
289286739,2.5338,3706.0547,9390.3408
289286778,2.6394,3671.8750,9691.3926
289286818,2.5602,3671.8750,9400.6514
289286858,2.5074,3696.2891,9268.0391
289286897,2.5602,3662.1094,9375.6494
289286937,2.6394,3681.6406,9717.1680
289286976,2.5866,3701.1719,9573.3438
289287016,2.4018,3696.2891,8877.8057
289287056,2.4018,3725.5859,8948.1719
289287095,2.4546,3691.4063,9060.9365
289287135,2.2962,3730.4688,8566.0576
289287174,2.1643,3715.8203,8042.0522
289287214,2.2171,3754.8828,8324.8037
289287254,2.2698,3715.8203,8434.3467
289287292,2.1379,3750.0000,8017.0503
289287332,2.1379,3740.2344,7996.1724
289287371,2.3226,3735.3516,8675.8594
289287411,2.3226,3701.1719,8596.4717
289287451,2.5338,3701.1719,9377.9688
289287490,2.5602,3676.7578,9413.1523
289287530,2.5338,3696.2891,9365.5967
289287569,2.6130,3666.9922,9581.7207
289287609,2.6394,3676.7578,9704.2803
289287649,2.7713,3652.3438,10121.8350
289287689,2.6394,3706.0547,9781.6055
289287729,2.5074,3671.8750,9206.8232
289287768,2.4810,3706.0547,9194.7090
289287808,2.6130,3662.1094,9568.9619
289287846,2.5074,3701.1719,9280.2822
289287886,2.3754,3715.8203,8826.6426
289287926,2.2435,3706.0547,8314.3652
289287965,2.3490,3740.2344,8785.9180
289288005,2.2171,3715.8203,8238.1992
289288044,2.2435,3720.7031,8347.2275
289288084,2.1907,3710.9375,8129.4287
289288124,2.2698,3740.2344,8489.7627
289288163,2.2962,3686.5234,8465.1484
289288203,2.3754,3715.8203,8826.6426
289288242,2.2698,3706.0547,8412.1807
289288282,2.3490,3725.5859,8751.5088
289288322,2.4282,3676.7578,8927.9385
289288360,2.6130,3676.7578,9607.2383
289288400,2.5866,3657.2266,9459.6758
289288439,2.5338,3691.4063,9353.2246
289288479,2.5338,3696.2891,9365.5967
289288519,2.5074,3686.5234,9243.5527
289288558,2.3490,3730.4688,8762.9785
289288598,2.2962,3715.8203,8532.4209
289288637,2.1115,3715.8203,7845.9043
289288677,2.2171,3715.8203,8238.1992
289288717,2.3490,3710.9375,8717.0996
289288756,2.3754,3701.1719,8791.8457
289288796,2.4546,3715.8203,9120.8633
289288835,2.6130,3671.8750,9594.4795
289288875,2.6394,3686.5234,9730.0557
289288914,2.4810,3686.5234,9146.2520
289288953,2.5074,3686.5234,9243.5527
289288993,2.3490,3710.9375,8717.0996
289289032,2.2962,3701.1719,8498.7842
289289072,2.2171,3730.4688,8270.6758
289289111,2.1643,3750.0000,8116.0264
289289151,2.2698,3603.5156,8179.4321
289289191,2.2435,3725.5859,8358.1826
289289230,2.4282,3701.1719,8987.2207
289289270,2.1643,3725.5859,8063.1880
289289309,2.3754,3696.2891,8780.2471
289289349,2.4810,3691.4063,9158.3662
289289389,2.6394,3662.1094,9665.6182
289289427,2.6394,3652.3438,9639.8428
289289467,2.6130,3691.4063,9645.5137
289289506,2.4810,3710.9375,9206.8232
289289546,2.4810,3671.8750,9109.9092
289289586,2.5338,3686.5234,9340.8525
289289625,2.2962,3701.1719,8498.7842
289289665,2.3490,3764.6484,8843.2676
289289704,2.4018,3696.2891,8877.8057
289289744,2.6130,3701.1719,9671.0313
289289784,2.2698,3710.9375,8423.2637
289289823,2.1907,3745.1172,8204.3057
289289863,2.2171,3720.7031,8249.0254
289289902,2.3226,3706.0547,8607.8125
289289942,2.4546,3701.1719,9084.9072
289289981,2.3754,3598.6328,8548.2725
289290020,2.4810,3691.4063,9158.3662
289290060,2.3754,3710.9375,8815.0439
289290099,2.4282,3696.2891,8975.3643
289290139,2.4282,3715.8203,9022.7900
289290179,2.4282,3701.1719,8987.2207
289290218,2.4810,3676.7578,9122.0234
289290258,2.5338,3701.1719,9377.9688
289290297,2.4810,3671.8750,9109.9092
289290337,2.4018,3720.7031,8936.4443
289290376,2.3490,3710.9375,8717.0996
289290416,2.5074,3691.4063,9255.7959
289290456,2.4018,3715.8203,8924.7158
289290494,2.2698,3735.3516,8478.6797
289290534,2.2698,3720.7031,8445.4297
289290573,2.2698,3730.4688,8467.5967
289290613,2.2962,3696.2891,8487.5723
289290653,2.3754,3720.7031,8838.2412
289290692,2.2435,3847.6563,8632.0420
289290732,2.2962,3715.8203,8532.4209
289290771,2.4810,3696.2891,9170.4805
289290811,2.4810,3686.5234,9146.2520
289290851,2.4018,3706.0547,8901.2607
289290890,2.5602,3691.4063,9450.6543
289290930,2.5602,3696.2891,9463.1553
289290969,2.5338,3681.6406,9328.4805
289291009,2.4018,3691.4063,8866.0781
289291048,2.2962,3715.8203,8532.4209
289291087,2.2171,3735.3516,8281.5020
289291127,2.2962,3696.2891,8487.5723
289291166,2.3226,3706.0547,8607.8125
289291206,2.4018,3623.0469,8701.8916
289291246,2.5074,3706.0547,9292.5254
289291285,2.3490,3701.1719,8694.1592
289291325,2.4282,3710.9375,9010.9336
289291364,2.4018,3696.2891,8877.8057
289291404,2.3226,3730.4688,8664.5176
289291444,2.3754,3701.1719,8791.8457
289291483,2.4018,3696.2891,8877.8057
289291523,2.4282,3720.7031,9034.6465
289291561,2.2962,3720.7031,8543.6328
289291601,2.2962,3725.5859,8554.8447
289291640,2.3226,3710.9375,8619.1543
289291680,2.4546,3710.9375,9108.8779
289291720,2.2171,3701.1719,8205.7227
289291759,2.1907,3735.3516,8182.9121
289291799,2.2698,3706.0547,8412.1807
289291838,2.5338,3681.6406,9328.4805
289291878,2.5338,3671.8750,9303.7373
289291918,2.3754,3715.8203,8826.6426
289291957,2.4282,3676.7578,8927.9385
289291997,2.5338,3696.2891,9365.5967
289292036,2.5338,3671.8750,9303.7373
289292076,2.3226,3701.1719,8596.4717
289292115,2.3226,3720.7031,8641.8359
289292154,2.1643,3730.4688,8073.7554
289292194,2.2962,3720.7031,8543.6328
289292233,2.4546,3691.4063,9060.9365
289292273,2.2435,3720.7031,8347.2275
289292313,2.2962,3720.7031,8543.6328
289292352,2.4282,3725.5859,9046.5029
289292392,2.4018,3696.2891,8877.8057
289292431,2.4546,3710.9375,9108.8779
289292471,2.3754,3676.7578,8733.8525
289292511,2.3754,3710.9375,8815.0439
289292550,2.4810,3681.6406,9134.1377
289292590,2.6130,3691.4063,9645.5137
289292628,2.4810,3686.5234,9146.2520
289292668,2.4018,3706.0547,8901.2607
289292708,2.4018,3715.8203,8924.7158
289292747,2.3754,3710.9375,8815.0439
289292787,2.5074,3701.1719,9280.2822
289292826,2.2698,3710.9375,8423.2637
289292866,2.1643,3735.3516,8084.3232
289292905,2.2171,3740.2344,8292.3271
289292945,2.2698,3720.7031,8445.4297
289292985,2.1643,3735.3516,8084.3232
289293024,2.0851,3730.4688,7778.3745
289293064,2.2171,3725.5859,8259.8506
289293103,2.5074,3696.2891,9268.0391
289293143,2.5602,3681.6406,9425.6533
289293182,2.5602,3686.5234,9438.1533
289293221,2.5602,3657.2266,9363.1484
289293261,2.5074,3691.4063,9255.7959
289293300,2.5866,3666.9922,9484.9355
289293340,2.5866,3662.1094,9472.3057
289293380,2.5074,3696.2891,9268.0391
289293419,2.1907,3696.2891,8097.3389
289293459,2.4018,3710.9375,8912.9883
289293498,2.4018,3686.5234,8854.3506
289293538,2.2435,3715.8203,8336.2734
289293578,2.1643,3676.7578,7957.5103
289293617,2.1643,3759.7656,8137.1621
289293657,2.1115,3720.7031,7856.2144
289293696,2.2698,3706.0547,8412.1807
289293735,2.2435,3706.0547,8314.3652
289293775,2.1907,3745.1172,8204.3057
289293814,2.2698,3740.2344,8489.7627
289293854,2.5074,3691.4063,9255.7959
289293893,2.5074,3681.6406,9231.3096
289293933,2.4810,3666.9922,9097.7949
289293973,2.4282,3715.8203,9022.7900
289294012,2.4282,3681.6406,8939.7949
289294052,2.4546,3720.7031,9132.8486
289294091,2.4546,3671.8750,9012.9951
289294131,2.5602,3706.0547,9488.1572
289294170,2.4546,3701.1719,9084.9072
289294210,2.3226,3701.1719,8596.4717
289294249,2.3754,3681.6406,8745.4512
289294288,2.4018,3691.4063,8866.0781
289294328,2.1643,3720.7031,8052.6201
289294367,2.2171,3735.3516,8281.5020
289294407,2.4546,3686.5234,9048.9512
289294447,2.3754,3710.9375,8815.0439
289294486,2.2435,3730.4688,8369.1367
289294526,2.1115,3730.4688,7876.8340
289294565,2.4018,3706.0547,8901.2607
289294605,2.4282,3706.0547,8999.0771
289294645,2.2962,3710.9375,8521.2090
289294684,2.4282,3706.0547,8999.0771
289294724,2.4810,3691.4063,9158.3662
289294763,2.5866,3666.9922,9484.9355
289294802,2.5074,3691.4063,9255.7959
289294842,2.4018,3691.4063,8866.0781
289294881,2.3226,3715.8203,8630.4951
289294921,2.2435,3701.1719,8303.4102
289294960,2.1115,3750.0000,7918.0742
289295000,2.2698,3691.4063,8378.9307
289295040,2.2698,3735.3516,8478.6797
289295079,2.3754,3666.9922,8710.6553
289295119,2.2698,3745.1172,8500.8467
289295158,2.4282,3701.1719,8987.2207
289295198,2.3490,3730.4688,8762.9785
289295238,2.2698,3720.7031,8445.4297
289295277,2.3754,3730.4688,8861.4385
289295316,2.5074,3676.7578,9219.0664
289295355,2.5602,3725.5859,9538.1602
289295395,2.4282,3696.2891,8975.3643
289295434,2.4282,3671.8750,8916.0820
289295474,2.4546,3676.7578,9024.9805
289295514,2.5074,3691.4063,9255.7959
289295553,2.4810,3686.5234,9146.2520
289295593,2.3754,3706.0547,8803.4443
289295632,2.4282,3696.2891,8975.3643
289295672,2.5338,3671.8750,9303.7373
289295712,2.7185,3676.7578,9995.4082
289295751,2.4546,3676.7578,9024.9805
289295791,2.4810,3691.4063,9158.3662
289295830,2.3226,3710.9375,8619.1543
289295869,2.3754,3686.5234,8757.0498
289295909,2.1379,3745.1172,8006.6113
289295948,2.0587,3745.1172,7710.0703
289295988,2.1115,3740.2344,7897.4541
289296027,2.1643,3750.0000,8116.0264
289296067,2.1643,3725.5859,8063.1880
289296107,2.1907,3808.5938,8343.3613
289296146,2.2435,3706.0547,8314.3652
289296186,2.3490,3710.9375,8717.0996
289296225,2.5602,3662.1094,9375.6494
289296265,2.5602,3686.5234,9438.1533
289296305,2.4546,3706.0547,9096.8926
289296344,2.6394,3662.1094,9665.6182
289296384,2.6394,3666.9922,9678.5049
289296422,2.6394,3681.6406,9717.1680
289296462,2.4018,3671.8750,8819.1680
289296502,2.4810,3701.1719,9182.5947
289296541,2.5074,3676.7578,9219.0664
289296581,2.5074,3696.2891,9268.0391
289296620,2.2962,3769.5313,8655.7539
289296660,2.2435,3735.3516,8380.0908
289296699,2.1643,3706.0547,8020.9170
289296739,2.2698,3715.8203,8434.3467
289296779,2.2435,3715.8203,8336.2734
289296818,2.1643,3730.4688,8073.7554
289296858,2.1379,3740.2344,7996.1724
289296897,2.2435,3740.2344,8391.0459
289296936,2.4018,3706.0547,8901.2607
289296976,2.4546,3681.6406,9036.9658
289297015,2.5074,3701.1719,9280.2822
289297055,2.5074,3666.9922,9194.5801
289297094,2.4282,3715.8203,9022.7900
289297134,2.5338,3666.9922,9291.3652
289297174,2.2962,3725.5859,8554.8447
289297213,2.3226,3715.8203,8630.4951
289297253,2.2962,3730.4688,8566.0576
289297292,2.2962,3671.8750,8431.5117
289297332,2.4810,3691.4063,9158.3662
289297372,2.4018,3691.4063,8866.0781
289297411,2.4282,3720.7031,9034.6465
289297451,2.4810,3715.8203,9218.9375
289297489,2.5074,3691.4063,9255.7959
289297529,2.2962,3706.0547,8509.9971
289297569,2.2962,3706.0547,8509.9971
289297608,2.2435,3701.1719,8303.4102
289297648,2.2962,3730.4688,8566.0576
289297687,2.4810,3696.2891,9170.4805
289297727,2.4018,3701.1719,8889.5332
289297767,2.2962,3706.0547,8509.9971
289297806,2.2962,3730.4688,8566.0576
289297846,2.4546,3706.0547,9096.8926
289297885,2.4282,3686.5234,8951.6514
289297925,2.4282,3725.5859,9046.5029
289297964,2.2698,3764.6484,8545.1797
289298003,2.4018,3720.7031,8936.4443
289298043,2.4810,3696.2891,9170.4805
289298082,2.2698,3730.4688,8467.5967
289298122,2.4018,3691.4063,8866.0781
289298161,2.3754,3725.5859,8849.8398
289298201,2.3490,3681.6406,8648.2803
289298241,2.4282,3735.3516,9070.2168
289298280,2.2698,3691.4063,8378.9307
289298320,2.2698,3725.5859,8456.5137
289298359,2.4546,3691.4063,9060.9365
289298399,2.5866,3701.1719,9573.3438
289298439,2.4282,3662.1094,8892.3691
289298478,2.3754,3720.7031,8838.2412
289298518,2.4810,3691.4063,9158.3662
289298556,2.4018,3720.7031,8936.4443
289298596,2.1907,3730.4688,8172.2153
289298636,2.1643,3745.1172,8105.4590
289298675,2.3226,3701.1719,8596.4717
289298715,2.4018,3706.0547,8901.2607
289298754,2.2435,3720.7031,8347.2275
289298794,2.4018,3725.5859,8948.1719
289298834,2.3490,3706.0547,8705.6289
289298873,2.3754,3696.2891,8780.2471
289298913,2.3226,3696.2891,8585.1309
289298952,2.4282,3706.0547,8999.0771
289298992,2.4810,3710.9375,9206.8232
289299032,2.2962,3691.4063,8476.3604
289299070,2.4282,3715.8203,9022.7900
289299110,2.4018,3701.1719,8889.5332
289299149,2.3754,3715.8203,8826.6426
289299189,2.4018,3686.5234,8854.3506
289299228,2.4282,3671.8750,8916.0820
289299268,2.4810,3686.5234,9146.2520
289299308,2.4018,3710.9375,8912.9883
289299347,2.4282,3686.5234,8951.6514
289299387,2.4546,3706.0547,9096.8926
289299426,2.4810,3701.1719,9182.5947
289299466,2.3490,3691.4063,8671.2197
289299506,2.2698,3735.3516,8478.6797
289299545,2.3490,3701.1719,8694.1592
289299585,2.3754,3706.0547,8803.4443
289299623,2.4546,3686.5234,9048.9512
289299663,2.3226,3720.7031,8641.8359
289299703,2.2962,3701.1719,8498.7842
289299742,2.2171,3740.2344,8292.3271
289299782,2.3490,3701.1719,8694.1592
289299821,2.3490,3730.4688,8762.9785
289299861,2.3226,3696.2891,8585.1309
289299901,2.3226,3735.3516,8675.8594
289299940,2.5074,3686.5234,9243.5527
289299980,2.4018,3730.4688,8959.8994
289300019,2.2962,3710.9375,8521.2090
289300059,2.3490,3725.5859,8751.5088
289300099,2.4810,3681.6406,9134.1377
289300137,2.4810,3691.4063,9158.3662
289300177,2.4810,3681.6406,9134.1377
289300216,2.4282,3720.7031,9034.6465
289300256,2.4018,3691.4063,8866.0781
289300296,2.4282,3681.6406,8939.7949
289300335,2.2962,3720.7031,8543.6328
289300375,2.1643,3730.4688,8073.7554
289300414,2.2171,3720.7031,8249.0254
289300454,2.3490,3720.7031,8740.0391
289300493,2.3226,3715.8203,8630.4951
289300533,2.2171,3715.8203,8238.1992
289300573,2.3754,3696.2891,8780.2471
289300612,2.4018,3715.8203,8924.7158
289300652,2.3754,3701.1719,8791.8457
289300690,2.2962,3720.7031,8543.6328
289300730,2.2698,3706.0547,8412.1807
289300770,2.4018,3706.0547,8901.2607
289300809,2.4282,3686.5234,8951.6514
289300849,2.3490,3715.8203,8728.5693
289300888,2.3490,3696.2891,8682.6895
289300928,2.4282,3710.9375,9010.9336
289300968,2.4018,3696.2891,8877.8057
289301007,2.4018,3657.2266,8783.9854
289301047,2.3226,3720.7031,8641.8359
289301086,2.4282,3706.0547,8999.0771
289301126,2.5074,3710.9375,9304.7686
289301166,2.4018,3696.2891,8877.8057
289301204,2.2962,3720.7031,8543.6328
289301244,2.2435,3715.8203,8336.2734
289301283,2.3226,3754.8828,8721.2227
289301323,2.3754,3730.4688,8861.4385
289301363,2.2171,3735.3516,8281.5020
289301402,2.1907,3730.4688,8172.2153
289301442,2.2698,3715.8203,8434.3467
289301481,2.4546,3710.9375,9108.8779
289301521,2.3754,3715.8203,8826.6426
289301561,2.3490,3676.7578,8636.8105
289301600,2.4810,3696.2891,9170.4805
289301640,2.6130,3666.9922,9581.7207
289301679,2.6658,3637.6953,9697.1924
289301719,2.5074,3676.7578,9219.0664
289301757,2.4546,3701.1719,9084.9072
289301797,2.4018,3720.7031,8936.4443
289301837,2.4546,3696.2891,9072.9219
289301876,2.4282,3720.7031,9034.6465
289301916,2.2171,3710.9375,8227.3740
289301955,2.2171,3745.1172,8303.1523
289301995,2.4018,3696.2891,8877.8057
289302035,2.4018,3740.2344,8983.3545
289302074,2.1907,3706.0547,8118.7324
289302114,2.0851,3754.8828,7829.2798
289302153,2.1379,3720.7031,7954.4170
289302193,2.4810,3725.5859,9243.1660
289302233,2.3490,3701.1719,8694.1592
289302272,2.3226,3735.3516,8675.8594
289302311,2.3490,3676.7578,8636.8105
289302350,2.6658,3676.7578,9801.3232
289302390,2.5338,3666.9922,9291.3652
289302430,2.3490,3691.4063,8671.2197
289302469,2.3754,3710.9375,8815.0439
289302509,2.4018,3710.9375,8912.9883
289302548,2.5602,3676.7578,9413.1523
289302588,2.5074,3681.6406,9231.3096
289302628,2.5338,3720.7031,9427.4570
289302667,2.4282,3671.8750,8916.0820
289302707,2.5338,3686.5234,9340.8525
289302746,2.3754,3691.4063,8768.6484
